cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0215i-yoch_6,1.0,0.03868194842406877,0.007298943607100739
HPSI0215i-zett_5,2.0,0.8412690117794052,0.004524226849938159
HPSI0314i-bubh_3,1.0,0.06870229007633588,0.011050049688552135
HPSI0314i-cuhk_2,1.0,0.16599007668019847,0.007902123725320636
HPSI0314i-hoik_1,1.0,0.07917888563049853,0.008442178105444002
HPSI0314i-qaqx_1,2.0,0.6225345973629727,0.029252206355286657
HPSI0314i-sojd_3,2.0,0.09658307210031347,0.00886041816644599
HPSI0314i-uict_1,1.0,0.5729166666666666,0.05048547230415051
HPSI0314i-xagu_1,1.0,0.4827586206896552,0.09279245191499011
HPSI0314i-xugn_2,1.0,0.041053446940356314,0.005522158829375401
HPSI0414i-ceik_1,1.0,0.1409090909090909,0.02345728409919386
HPSI0414i-gesg_2,1.0,0.06993006993006994,0.021326606916828878
HPSI0414i-mita_1,1.0,0.017928786359077232,0.0014857795073898797
HPSI0414i-oaqd_2,1.0,0.021929824561403508,0.0068583582244825915
HPSI0414i-sebn_3,1.0,0.4278812974465148,0.012997820402885794
HPSI0414i-uawq_2,1.0,0.6321883442686221,0.009473321569087546
HPSI0414i-xojn_3,2.0,0.7174833218311479,0.013292799138304065
HPSI0513i-dipe_1,1.0,0.848421052631579,0.016454260052009725
HPSI0513i-fejf_2,1.0,0.2754237288135593,0.0205623018984839
HPSI0513i-giuf_1,1.0,0.7666666666666667,0.03861011189754234
HPSI0513i-momt_2,1.0,0.5597057159026598,0.01180954376718225
HPSI0513i-oibg_1,1.0,0.07121057985757884,0.008202649075479775
HPSI0513i-sucd_3,1.0,0.8743545611015491,0.013750835529767778
HPSI0513i-uoxz_4,1.0,0.8450502152080345,0.013706303934819294
HPSI0513i-veve_2,1.0,0.7338709677419355,0.016202033028522255
HPSI0514i-fiaj_1,2.0,0.08154707543752576,0.002292378485118974
HPSI0514i-lako_1,2.0,0.8200329780517184,0.006808789947938312
HPSI0514i-naah_2,1.0,0.8660714285714286,0.018579919811169916
HPSI0514i-oekw_2,1.0,0.2834850455136541,0.016252289004884134
HPSI0514i-oupf_6,1.0,0.6181102362204725,0.030484924123551266
HPSI0514i-qihv_1,1.0,0.21083172147001933,0.017939383572555218
HPSI0514i-rutc_2,1.0,0.8954248366013072,0.012369528142523288
HPSI0514i-sohd_2,1.0,0.6976744186046512,0.02111705142651128
HPSI0514i-suul_1,1.0,0.691358024691358,0.05132589007920359
HPSI0514i-tert_1,1.0,0.7911200807265388,0.012913165654585963
HPSI0514i-uenn_3,2.0,0.34770966288648414,0.014047978156039337
