cell_line,donor,pool,n_cells_D11,n_cells_D30,n_cells_D52
HPSI0314i-sojd_3,HPSI0314i,pool4,565.0,606.0,440.0
HPSI0314i-uict_1,HPSI0314i,pool6,670.0,179.0,96.0
HPSI0314i-xagu_1,HPSI0314i,pool6,318.0,74.0,29.0
HPSI0314i-xugn_2,HPSI0314i,pool8,1829.0,1769.0,1291.0
HPSI0414i-ceik_1,HPSI0414i,pool4,445.0,340.0,220.0
HPSI0414i-gesg_2,HPSI0414i,pool9,1061.0,310.0,143.0
HPSI0414i-mita_1,HPSI0414i,pool6,14640.0,13112.0,7976.0
HPSI0414i-oaqd_2,HPSI0414i,pool8,1381.0,480.0,456.0
HPSI0414i-sebn_3,HPSI0414i,pool3,1287.0,836.0,1449.0
HPSI0414i-uawq_2,HPSI0414i,pool8,1532.0,1853.0,2591.0
HPSI0414i-xojn_3,HPSI0414i,pool7,143.0,539.0,276.0
HPSI0414i-xojn_3,HPSI0414i,pool8,2177.0,1048.0,945.0
HPSI0513i-dipe_1,HPSI0513i,pool11,377.0,80.0,475.0
HPSI0513i-fejf_2,HPSI0513i,pool11,498.0,97.0,472.0
HPSI0513i-giuf_1,HPSI0513i,pool11,261.0,34.0,120.0
HPSI0513i-momt_2,HPSI0513i,pool11,1218.0,320.0,1767.0
HPSI0513i-oibg_1,HPSI0513i,pool11,360.0,83.0,983.0
HPSI0513i-sucd_3,HPSI0513i,pool11,592.0,124.0,581.0
HPSI0513i-uoxz_4,HPSI0513i,pool11,942.0,148.0,697.0
HPSI0513i-veve_2,HPSI0513i,pool11,1079.0,240.0,744.0
HPSI0514i-fiaj_1,HPSI0514i,pool4,2125.0,2488.0,4499.0
HPSI0514i-fiaj_1,HPSI0514i,pool5,8321.0,10811.0,13817.0
HPSI0514i-lako_1,HPSI0514i,pool2,1337.0,2021.0,3251.0
HPSI0514i-lako_1,HPSI0514i,pool4,607.0,856.0,893.0
HPSI0514i-naah_2,HPSI0514i,pool7,94.0,577.0,336.0
HPSI0514i-oekw_2,HPSI0514i,pool8,1103.0,689.0,769.0
HPSI0514i-oupf_6,HPSI0514i,pool9,1807.0,931.0,254.0
HPSI0514i-qihv_1,HPSI0514i,pool6,1608.0,947.0,517.0
HPSI0514i-rutc_2,HPSI0514i,pool7,251.0,866.0,612.0
HPSI0514i-sohd_2,HPSI0514i,pool7,119.0,812.0,473.0
HPSI0514i-suul_1,HPSI0514i,pool6,910.0,150.0,81.0
HPSI0514i-tert_1,HPSI0514i,pool6,2265.0,1317.0,991.0
HPSI0514i-uenn_3,HPSI0514i,pool2,594.0,775.0,2007.0
HPSI0514i-uenn_3,HPSI0514i,pool3,276.0,165.0,334.0
HPSI0514i-wiii_3,HPSI0514i,pool7,155.0,3030.0,5939.0
HPSI0514i-wiii_3,HPSI0514i,pool8,874.0,2065.0,1529.0
HPSI0514i-yewo_4,HPSI0514i,pool7,168.0,940.0,1019.0
HPSI0613i-aevs_1,HPSI0613i,pool11,1073.0,433.0,1906.0
HPSI0613i-bawa_1,HPSI0613i,pool11,743.0,180.0,1251.0
HPSI0613i-bohf_1,HPSI0613i,pool11,1031.0,239.0,1236.0
HPSI0613i-eojr_2,HPSI0613i,pool11,125.0,13.0,46.0
HPSI0613i-hegp_3,HPSI0613i,pool11,233.0,65.0,270.0
HPSI0613i-hikj_2,HPSI0613i,pool11,300.0,68.0,496.0
HPSI0613i-lizq_3,HPSI0613i,pool11,581.0,63.0,337.0
HPSI0614i-juzt_4,HPSI0614i,pool7,194.0,967.0,1269.0
HPSI0614i-liqa_1,HPSI0614i,pool1,3190.0,1043.0,1940.0
HPSI0614i-lirf_5,HPSI0614i,pool5,1667.0,681.0,451.0
HPSI0614i-miaj_4,HPSI0614i,pool8,3123.0,1404.0,972.0
HPSI0614i-oicx_2,HPSI0614i,pool5,128.0,210.0,79.0
HPSI0614i-puhk_2,HPSI0614i,pool9,3128.0,3893.0,1196.0
HPSI0614i-qunz_2,HPSI0614i,pool8,352.0,304.0,312.0
HPSI0614i-uevq_6,HPSI0614i,pool2,1255.0,2213.0,10367.0
HPSI0614i-voce_1,HPSI0614i,pool6,2430.0,925.0,617.0
HPSI0614i-wihj_4,HPSI0614i,pool7,367.0,3066.0,1736.0
HPSI0714i-burb_1,HPSI0714i,pool4,832.0,544.0,733.0
HPSI0714i-burb_1,HPSI0714i,pool5,1675.0,1219.0,1686.0
HPSI0714i-iudw_1,HPSI0714i,pool1,2640.0,624.0,1108.0
HPSI0714i-keui_4,HPSI0714i,pool7,364.0,2196.0,3396.0
HPSI0714i-kute_5,HPSI0714i,pool5,60.0,121.0,40.0
HPSI0714i-oatm_1,HPSI0714i,pool6,1300.0,993.0,483.0
HPSI0714i-pipw_4,HPSI0714i,pool3,4143.0,1912.0,3342.0
HPSI0715i-aowh_2,HPSI0715i,pool8,2016.0,3306.0,5883.0
HPSI0715i-meue_5,HPSI0715i,pool2,1248.0,1450.0,1432.0
HPSI0715i-meue_5,HPSI0715i,pool3,942.0,312.0,893.0
HPSI0715i-zaie_5,HPSI0715i,pool8,1603.0,893.0,769.0
HPSI0814i-bokz_6,HPSI0814i,pool4,293.0,259.0,235.0
HPSI0814i-siqu_4,HPSI0814i,pool7,349.0,1117.0,583.0
HPSI0913i-eika_2,HPSI0913i,pool9,182.0,85.0,15.0
HPSI0914i-iezw_2,HPSI0914i,pool5,493.0,981.0,905.0
HPSI0914i-jejf_2,HPSI0914i,pool5,2452.0,1883.0,1466.0
HPSI0914i-kajh_2,HPSI0914i,pool5,472.0,157.0,76.0
HPSI0914i-laey_6,HPSI0914i,pool5,158.0,140.0,69.0
HPSI0914i-laey_6,HPSI0914i,pool6,1149.0,359.0,219.0
HPSI0914i-ouvb_2,HPSI0914i,pool8,1418.0,784.0,589.0
HPSI0914i-ouvb_2,HPSI0914i,pool9,2210.0,952.0,285.0
HPSI0914i-rejf_2,HPSI0914i,pool9,1317.0,1781.0,620.0
HPSI0914i-suop_5,HPSI0914i,pool1,1640.0,345.0,421.0
HPSI0914i-vaka_5,HPSI0914i,pool3,1338.0,1047.0,2086.0
HPSI0914i-yuvg_2,HPSI0914i,pool7,71.0,370.0,223.0
HPSI0914i-zerv_7,HPSI0914i,pool7,175.0,578.0,288.0
HPSI0914i-zerv_7,HPSI0914i,pool8,881.0,476.0,551.0
HPSI1013i-garx_2,HPSI1013i,pool9,1423.0,5369.0,3208.0
HPSI1013i-hiaf_1,HPSI1013i,pool5,980.0,865.0,566.0
HPSI1013i-hiaf_1,HPSI1013i,pool6,4858.0,4659.0,3018.0
HPSI1013i-jogf_2,HPSI1013i,pool9,1262.0,432.0,244.0
HPSI1013i-sita_1,HPSI1013i,pool8,2309.0,1973.0,1270.0
HPSI1013i-woci_1,HPSI1013i,pool6,2019.0,742.0,556.0
HPSI1013i-wopl_2,HPSI1013i,pool9,1512.0,1411.0,405.0
HPSI1013i-zagm_1,HPSI1013i,pool6,330.0,13.0,22.0
HPSI1014i-babz_3,HPSI1014i,pool8,1744.0,1679.0,3007.0
HPSI1014i-bilx_1,HPSI1014i,pool4,179.0,168.0,81.0
HPSI1014i-eesb_1,HPSI1014i,pool4,3057.0,9855.0,7932.0
HPSI1014i-kefb_1,HPSI1014i,pool8,605.0,187.0,235.0
HPSI1014i-nosn_1,HPSI1014i,pool6,775.0,133.0,78.0
HPSI1014i-qayj_4,HPSI1014i,pool5,4959.0,5280.0,6652.0
HPSI1014i-quls_2,HPSI1014i,pool3,2682.0,1429.0,7606.0
HPSI1014i-roug_3,HPSI1014i,pool7,578.0,7169.0,7409.0
HPSI1014i-sehl_6,HPSI1014i,pool6,2881.0,3814.0,3144.0
HPSI1014i-tixi_4,HPSI1014i,pool7,60.0,664.0,453.0
HPSI1014i-tuju_1,HPSI1014i,pool6,3701.0,1151.0,850.0
HPSI1014i-vils_1,HPSI1014i,pool8,2013.0,1156.0,1095.0
HPSI1113i-hayt_3,HPSI1113i,pool9,4405.0,6053.0,3138.0
HPSI1113i-ieki_3,HPSI1113i,pool9,727.0,276.0,165.0
HPSI1113i-podx_1,HPSI1113i,pool1,1940.0,549.0,2393.0
HPSI1113i-qolg_1,HPSI1113i,pool9,353.0,213.0,108.0
HPSI1113i-vuud_2,HPSI1113i,pool5,1722.0,1753.0,1331.0
HPSI1114i-kuul_1,HPSI1114i,pool6,1641.0,1370.0,988.0
HPSI1114i-kuul_1,HPSI1114i,pool7,173.0,1511.0,861.0
HPSI1114i-ualf_6,HPSI1114i,pool6,572.0,298.0,199.0
HPSI1213i-hehd_1,HPSI1213i,pool4,1242.0,1236.0,806.0
HPSI1213i-hehd_1,HPSI1213i,pool5,589.0,363.0,256.0
