cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0614i-juzt_4,1.0,0.10480693459416864,0.00859849717728371
HPSI0614i-liqa_1,1.0,0.21082474226804124,0.00926076053732733
HPSI0614i-lirf_5,1.0,0.09090909090909091,0.013536894489321358
HPSI0614i-miaj_4,1.0,0.03806584362139918,0.00613772279613639
HPSI0614i-oicx_2,1.0,0.4177215189873418,0.05548751160239523
HPSI0614i-puhk_2,1.0,0.047658862876254184,0.006160309334086718
HPSI0614i-qunz_2,1.0,0.18269230769230768,0.021876388483579944
HPSI0614i-uevq_6,1.0,0.03318221279058551,0.0017591320397895881
HPSI0614i-voce_1,1.0,0.050243111831442464,0.008794312802836036
HPSI0614i-wihj_4,1.0,0.6595622119815668,0.011372917860471463
HPSI0714i-burb_1,2.0,0.10006287231821648,0.0068522101574794575
HPSI0714i-iudw_1,1.0,0.26895306859205775,0.01332112798529155
HPSI0714i-keui_4,1.0,0.07656065959952886,0.004562713279821086
HPSI0714i-kute_5,1.0,0.1,0.047434164902525694
HPSI0714i-oatm_1,1.0,0.024844720496894408,0.007082398846211867
HPSI0714i-pipw_4,1.0,0.27947336923997607,0.007762328375493159
HPSI0715i-aowh_2,1.0,0.062213156552779196,0.0031491530070251236
HPSI0715i-meue_5,2.0,0.22921293486896843,0.008506024946092023
HPSI0715i-zaie_5,1.0,0.21976592977893367,0.01493239493782255
HPSI0814i-bokz_6,1.0,0.16595744680851063,0.024269372403084948
HPSI0814i-siqu_4,1.0,0.7084048027444254,0.018823338593428173
HPSI0913i-eika_2,1.0,0.3333333333333333,0.12171612389003691
HPSI0914i-iezw_2,1.0,0.2740331491712707,0.01482639807636488
HPSI0914i-jejf_2,1.0,0.4529331514324693,0.013000805719755927
HPSI0914i-kajh_2,1.0,0.4342105263157895,0.05685528086757625
HPSI0914i-laey_6,2.0,0.20706769902719874,0.0298070101775067
HPSI0914i-ouvb_2,2.0,0.3370118845500849,0.01714764757067856
HPSI0914i-rejf_2,1.0,0.02903225806451613,0.006742903803520752
HPSI0914i-suop_5,1.0,0.35391923990498814,0.023305286297964238
HPSI0914i-vaka_5,1.0,0.18360498561840843,0.008476864766959058
HPSI0914i-yuvg_2,1.0,0.5067264573991032,0.03347944652737904
HPSI0914i-zerv_7,2.0,0.3871464761040533,0.01632505126750334
HPSI1013i-garx_2,1.0,0.07450124688279301,0.004636096955409477
HPSI1013i-hiaf_1,2.0,0.14880563497694632,0.00897784739181253
HPSI1013i-jogf_2,1.0,0.020491803278688523,0.009069831382087102
HPSI1013i-sita_1,1.0,0.026771653543307086,0.004529425413305338
HPSI1013i-woci_1,1.0,0.06294964028776978,0.010300082338447362
HPSI1013i-wopl_2,1.0,0.014814814814814815,0.006003154741995216
HPSI1013i-zagm_1,1.0,0.13636363636363635,0.0731650049984536
HPSI1014i-babz_3,1.0,0.0984369803791154,0.005432634310782514
HPSI1014i-bilx_1,1.0,0.04938271604938271,0.02407397637144615
HPSI1014i-eesb_1,1.0,0.32614725163893094,0.005263783408343992
HPSI1014i-kefb_1,1.0,0.03829787234042553,0.012519116499759946
HPSI1014i-nosn_1,1.0,0.07692307692307693,0.03017171309818216
HPSI1014i-qayj_4,1.0,0.3762778111846061,0.005939826798188028
HPSI1014i-quls_2,1.0,0.018406521167499343,0.0015412515594303402
HPSI1014i-roug_3,1.0,0.2742610338777163,0.005183134489729253
HPSI1014i-sehl_6,1.0,0.06297709923664122,0.004332366214073245
HPSI1014i-tixi_4,1.0,0.31788079470198677,0.021878280331104682
HPSI1014i-tuju_1,1.0,0.012941176470588235,0.0038765816388312935
HPSI1014i-vils_1,1.0,0.20365296803652969,0.012169969651603553
HPSI1113i-hayt_3,1.0,0.13097514340344169,0.006022600710331852
HPSI1113i-ieki_3,1.0,0.07878787878787878,0.020973337900554122
HPSI1113i-podx_1,1.0,0.5666527371500208,0.010129900394468
HPSI1113i-qolg_1,1.0,0.1574074074074074,0.03504366528858251
HPSI1113i-vuud_2,1.0,0.30503380916604056,0.012620216344412908
HPSI1114i-kuul_1,2.0,0.32590152680011475,0.009538300810399821
HPSI1114i-ualf_6,1.0,0.07035175879396985,0.018128850494282447
HPSI1213i-hehd_1,2.0,0.45236895161290325,0.01785530926572647
