cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population,label_variant
HPSI0314i-qaqx_1,pool11,6.918094968753137,3.0864103990222214,-2.7343892435309898,0.8467416262431432,3.3238545298231394,-0.6138865796387833,1.7219645918791218,-0.1365647751348472,1.3968175584803981,1.3062853239855972,0.42857142857142855,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.2571428571428571,0.05714285714285714,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-qaqx_1,pool6,-4.018444417977212,-5.174511602683899,-5.154551089968735,2.101791821891031,-0.49706451160351434,0.7696653731551549,-0.7482966915772293,0.07936846797306683,0.21063811854597547,0.2723446413224854,0.14418604651162792,0.08372093023255814,0.10697674418604651,0.11162790697674418,0.5302325581395348,0.023255813953488372,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-sojd_3,pool3,-5.815074844313382,8.038693538218194,0.6023119824988111,-0.8621082978067408,1.3799495448884433,-1.2816667043306254,2.020541280322075,-1.418651222453493,1.170430291685245,2.9804243519301785,0.061711079943899017,0.43338008415147267,0.36044880785413747,0.05049088359046283,0.011220196353436185,0.08134642356241234,0.001402524544179523,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-sojd_3,pool4,-0.2687355736493018,4.290948242966791,1.2681084509148999,-1.3975541598383656,-0.9740191742477937,0.23508240118053203,-0.2315180871490353,-1.057326667925173,-0.4611252423249459,-1.2604682814813548,0.19471947194719472,0.2854785478547855,0.24092409240924093,0.04455445544554455,0.04455445544554455,0.17491749174917492,0.01485148514851485,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-uict_1,pool6,-2.240093432985651,-1.4329979206907806,-4.098998637659384,0.9768597177272448,-0.0035125713420605977,0.23315497162836957,0.2820799895745296,1.1158720286270074,-0.19193863846542683,-0.32832821491062486,0.24581005586592178,0.11173184357541899,0.17318435754189945,0.055865921787709494,0.39664804469273746,0.01675977653631285,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0314i-xagu_1,pool6,-2.543798219332851,-2.5807582158779354,-3.4527364575391934,0.4692292783437304,0.1533755536552385,0.3371852335412933,-0.7363360757740265,0.47339279124968775,-0.4276354936657311,-0.3749357286922646,0.22972972972972974,0.0945945945945946,0.1891891891891892,0.05405405405405406,0.40540540540540543,0.02702702702702703,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-xugn_2,pool8,-6.2982417063241245,0.22048763623301065,5.267038067537181,-3.612498602084363,-2.637226063509454,-0.8349649665174899,0.6598160861835501,0.9249810985924387,-1.7083377016445065,0.15294524075522348,0.0248728094968909,0.13736574335782928,0.6449971735443754,0.041831543244771056,0.009609949123798756,0.14132278123233466,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-ceik_1,pool4,0.13675495220260128,5.41747277311754,0.5423019612503382,-0.9597460098888501,-0.2723532057098927,0.21002055191412677,-0.2007201848900045,-1.2345131936858054,-0.08429528464089775,-0.8270919513258116,0.19411764705882353,0.29705882352941176,0.24705882352941178,0.03235294117647059,0.04411764705882353,0.18529411764705883,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0414i-gesg_2,pool9,-2.1592346869144174,2.7069669467145068,4.560126367439229,0.5921910823552984,-1.8160804777418866,1.0579347373560466,1.5877511776993891,-1.4356867505258806,1.0884049942756107,0.8614655306441047,0.07419354838709677,0.18064516129032257,0.3580645161290323,0.14193548387096774,0.01935483870967742,0.2064516129032258,0.01935483870967742,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-mita_1,pool6,-9.13059654058503,4.689346661088649,3.4182581517246224,-2.2438407770380087,-0.605576833545697,-1.7404633010514483,0.5208150869918569,-0.08667347005325533,-0.5218365245034106,0.01142860120214205,0.029591214154972543,0.2533557046979866,0.5709273947528981,0.07306284319707139,0.0071690054911531425,0.06574130567419158,0.0001525320317266626,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-oaqd_2,pool8,-7.981200250909171,3.385507528689008,3.627319476070618,-3.086184421762359,-1.8434074991533242,-1.191222931262845,0.1755907106057668,0.7387859377286865,-1.3107454491799984,-0.07917008401694882,0.04583333333333333,0.26458333333333334,0.5708333333333333,0.035416666666666666,0.0020833333333333333,0.07708333333333334,0.004166666666666667,plain,0,0,test,qualifying_only,da_untreated
HPSI0414i-sebn_3,pool3,6.1182336780792905,1.6546056622288867,-2.996955892816108,0.7753648996445685,2.944612581103834,-3.0786457133896517,1.3909291909354347,1.0416315206827245,0.37603567906528845,1.678974098083785,0.4473684210526316,0.08373205741626795,0.16148325358851676,0.02751196172248804,0.27392344497607657,0.005980861244019139,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-uawq_2,pool8,-4.771039711640318,-3.8260483062855233,-3.9692670018856284,1.038635442676766,-1.0381718722579332,0.1443526426177598,-0.6476400825451349,0.6515020220509726,-0.9510063931384629,-0.923867228232359,0.13167835941716136,0.10685375067458176,0.1926605504587156,0.0960604425256341,0.44846195358877494,0.024284943335132217,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-xojn_3,pool7,15.769696293001813,3.09313373965745,-0.522505540159935,0.492025092162203,0.24412732420831904,-2.937482240756935,-3.138892191238543,0.11393517776031159,0.034309122645642474,-0.8870346388693091,0.8552875695732839,0.02040816326530612,0.04267161410018553,0.012987012987012988,0.06307977736549165,0.0055658627087198514,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0414i-xojn_3,pool8,0.3168901571047865,-1.075898635398337,-1.9632309671816752,-0.11683751550141123,-0.12141018270844367,0.15746513877719237,-0.778093119174453,1.3201875270332106,-1.899571723102291,-2.3019271199162024,0.3788167938931298,0.11545801526717557,0.1784351145038168,0.05725190839694656,0.26049618320610685,0.009541984732824428,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0513i-dipe_1,pool11,5.3499696189948915,-1.0207678352351313,-3.943280040493498,1.7368145055097781,4.181608343948116,-0.7019459813751443,2.4326409417127524,1.1737372670566164,0.28108078724219016,2.4310008415572897,0.3875,0.0625,0.0875,0.05,0.4,0.0125,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0513i-fejf_2,pool11,3.9929961801439724,5.859622371654617,0.35264485216618147,0.43218092494705423,1.5580889506667563,-0.6252781747039555,1.7798355615605543,-0.9803654580706538,2.383726665998011,3.430354763213825,0.30927835051546393,0.2268041237113402,0.23711340206185566,0.05154639175257732,0.061855670103092786,0.1134020618556701,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0513i-giuf_1,pool11,13.232863778828115,5.7090667750794895,-0.937897941848354,1.4022268711964565,3.49480125809327,-2.925063953146256,-0.8170554817776746,-0.38930262570871976,1.1675291021556709,3.1063736567903177,0.6764705882352942,0.14705882352941177,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0513i-momt_2,pool11,8.583811990487813,2.0879970021848075,-0.0628527138269753,1.4825330650058008,2.5279210379785497,-1.3755775108969621,0.8678871845655228,-0.6725853892747866,1.7814334782180754,2.2250126717888508,0.44375,0.046875,0.19375,0.0625,0.15625,0.096875,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0513i-oibg_1,pool11,0.2769854842128748,4.312271216355085,2.81384147205957,1.3159568521110594,2.1382877805925182,0.6706249350717438,3.8726737452912743,-3.17894516164969,3.8087417163267094,3.2656387133431664,0.024096385542168676,0.21686746987951808,0.3493975903614458,0.14457831325301204,0.012048192771084338,0.24096385542168675,0.012048192771084338,plain,0,0,test,qualifying_only,da_untreated
HPSI0513i-sucd_3,pool11,11.840494942177331,0.44812554457103304,-2.227620253551606,1.880780893418284,1.977268031970262,-2.795738048302162,-0.819991385212892,0.164880590105359,0.7418811402767773,1.3993150470244307,0.6532258064516129,0.0,0.08064516129032258,0.04838709677419355,0.18548387096774194,0.03225806451612903,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0513i-uoxz_4,pool11,13.913414722199027,2.2832093178558446,-2.1227062039843885,1.4062613315998396,3.732350113164729,-2.526257641155376,-0.46497324245955446,0.7412369854897367,0.6223538981870013,1.8281484957852734,0.7027027027027027,0.02702702702702703,0.0472972972972973,0.02702702702702703,0.19594594594594594,0.0,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0513i-veve_2,pool11,12.340666442450981,2.7641306145702127,0.3427031666628482,0.5651851373298115,3.423506749470067,-1.5279787475529232,-1.146826194199053,-0.10167073533016284,1.089139793922435,1.2928961448659542,0.6958333333333333,0.020833333333333332,0.14583333333333334,0.03333333333333333,0.0875,0.016666666666666666,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0514i-fiaj_1,pool4,1.1522730252194961,3.7940142871395715,2.20214679967208,-0.6395395997780675,0.09403239844096611,0.8932079696324473,0.2929895858784983,-2.360600951195833,1.4043146053558857,-1.153114809350491,0.23553054662379422,0.24959807073954984,0.26487138263665594,0.06028938906752412,0.013263665594855305,0.17323151125401928,0.003215434083601286,plain,0,0,train,qualifying_only,da_untreated
HPSI0514i-fiaj_1,pool5,-5.602432275849274,1.5597293670679644,1.842603564029305,-1.8370413254880227,-0.16752181292344623,2.3175313019455555,-1.6225577398958682,-1.3814927162309905,-0.5751472880976279,-3.018999272278697,0.1453149569882527,0.26658033484414023,0.31708445102210714,0.09397835537878087,0.032559430209971325,0.14087503468689297,0.0036074368698547775,plain,0,0,train,qualifying_only,da_untreated
HPSI0514i-lako_1,pool2,6.20567896442451,-1.4400740641713317,-1.7989655377326168,1.3773189332357805,3.337407200838952,-0.07182865909517742,-0.11566058069048026,0.6969144441065375,1.1134888605340296,1.653912854815635,0.5086590796635329,0.015338941118258289,0.13211281543790204,0.07125185551707075,0.26669965363681347,0.005937654626422563,0.0,plain,0,0,test,qualifying_only,da_untreated
