cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split,fit_population,label_variant
HPSI0513i-oibg_1,pool11,1.0382709853503314,3.418503413646469,11.226089854182908,-0.8010847752093776,6.183842843980269,-4.919017292127742,-13.036242279930804,-3.7125580711720256,30.124830417976824,-7.16189070938395,0.24722222222222223,0.21666666666666667,0.5361111111111111,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0513i-sucd_3,pool11,4.941087024642176,10.039088356150947,8.199698375129591,0.6439233028012528,5.9506072414439535,-2.469064024763788,-11.543733976296007,-2.1759447576402766,30.013962548736057,-8.837451207719862,0.34290540540540543,0.005067567567567568,0.652027027027027,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0513i-uoxz_4,pool11,4.752122370967751,9.877005783988174,7.690281667992875,1.264971583812738,5.830544992918585,-3.696040028574738,-11.371992774144216,-3.1384227309151274,30.313103392742363,-9.962799850645904,0.3205944798301486,0.0021231422505307855,0.6772823779193206,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0513i-veve_2,pool11,4.662468653595456,9.03908060273035,8.593492766158624,0.2565184359778945,6.681861713611578,-3.0987168385567108,-13.35604437975624,-2.403183368856457,30.061162112910157,-8.813581934099018,0.33642261353104724,0.021316033364226137,0.6422613531047267,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-fiaj_1,pool4,-1.8294285146024283,-2.893633219832597,2.225676475092583,-0.3385842513984749,0.7537111941939856,0.958130694865556,-1.5846533158336107,1.2046370635810781,1.4656469642920122,1.4784342545708715,0.5727058823529412,0.13976470588235293,0.28752941176470587,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-fiaj_1,pool5,-1.7585199949759187,-2.494239527066556,2.087733465718976,-0.7061533265728948,-0.6856865787674619,-1.663086455567995,-2.554330327366921,-0.1245306067542708,0.6059821906303169,1.35562138418759,0.5501742579016945,0.1150102151183752,0.3348155269799303,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-lako_1,pool2,0.4283563385525285,6.653381423820511,3.5284744396206227,2.142620436019761,0.8187719854574627,-0.7632810929503776,1.7559756724973263,1.3529621830972327,-2.2642983397001,-1.676993761452149,0.5833956619296934,0.008227374719521317,0.4083769633507853,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-lako_1,pool4,0.7784739714375192,3.8777178763084588,0.24786399559114203,1.7032944364865004,0.7570050820949913,2.8250893603005633,3.1118791030291724,1.4357678534803373,1.205932264821736,-1.1602132557212452,0.5469522240527183,0.0,0.45304777594728174,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-naah_2,pool7,-1.4023156964285655,6.069251732140545,1.6847374985899894,-1.8417261174415196,-0.2714510316260148,-1.0489070788642916,-1.1934604213993696,0.3357665944742486,-0.12136903690307309,1.1600956054792309,0.6702127659574468,0.0,0.32978723404255317,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-oekw_2,pool8,0.0038968049068346436,-2.7594696953306803,-2.360528161333509,-1.5741749631965385,0.22876011477467303,1.1676328407926089,-0.19752356132818663,0.26206740823575475,0.023086804018124983,1.1381128841334605,0.499546690843155,0.043517679057116954,0.45693563009972804,donor_grouped,2,3,train,qualifying_only,da_untreated
