cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population
HPSI0114i-wegi_1,pool7,5.236950240418411,-3.648709806980604,-3.422327316093004,0.3542448008174724,1.6776099306663859,0.05076689704756689,-0.19062190132380422,0.7701629618862061,-1.1792751750980983,2.0275845175148404,0.5235008103727715,0.0016207455429497568,0.050243111831442464,0.03403565640194489,0.3905996758508914,0.0,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-aion_2,pool4,6.248342065473039,-0.27203669023756705,-2.1139191236499584,-0.13031009669712731,0.9610985492415257,-0.8291272348434339,1.2414098939851235,0.6011210762283811,-0.8201334117475336,1.3464610423967576,0.5524044389642416,0.05425400739827373,0.1060419235511714,0.025893958076448828,0.2466091245376079,0.012330456226880395,0.002466091245376079,lodo,0,8,train,qualifying_only
HPSI0115i-aoxv_1,pool8,-6.851864613184298,3.3587455201309564,0.44279634564740405,-1.9611323836295262,-1.161868351853784,-0.0682705160006253,0.13033880786432742,0.21121769488415956,-1.3751292183708848,0.7480523484520857,0.08423467715503113,0.29859062602425435,0.3720091773189118,0.049491969845952145,0.12225499836119305,0.0727630285152409,0.0006555227794165847,lodo,0,8,train,qualifying_only
HPSI0115i-bimq_4,pool4,0.22385532010228082,2.321479178898439,3.5840793608093167,-1.7368719323168076,-1.1941486080464807,-0.22922797526466707,-0.49749590896696916,-1.1959501945153206,0.384401539782252,0.6046361934743193,0.18181818181818182,0.1487603305785124,0.3622589531680441,0.07162534435261708,0.0371900826446281,0.1928374655647383,0.005509641873278237,lodo,0,8,train,qualifying_only
HPSI0115i-boqx_2,pool4,0.05930362224740312,0.8452027770835762,-0.28375693796190204,-0.4933687676751693,1.0633981485616264,-0.9933392974654017,-0.48141700756805333,-0.7065697288753092,0.4724045765450677,0.886809805137827,0.25,0.14516129032258066,0.25,0.04838709677419355,0.22580645161290322,0.08064516129032258,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-gifk_1,pool4,5.273956250440612,-1.9471372243356766,-0.8674728250540857,0.49921245641572615,1.0181433717339294,-1.380860793760927,0.8280969052177442,1.1695626734834175,-0.7584168521298508,1.8883314848088912,0.5051020408163265,0.015306122448979591,0.14285714285714285,0.07142857142857142,0.2653061224489796,0.0,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-gost_2,pool2,12.280512479359436,1.1559906725709137,-3.2142013972948584,1.3957187007233915,3.3585824268299245,-2.021543153212743,-1.2304488449053728,0.6410400547280782,1.0272446976919696,-1.721755034087307,0.6404217926186292,0.022847100175746926,0.03725834797891037,0.01265377855887522,0.281195079086116,0.0045694200351493845,0.001054481546572935,lodo,0,8,train,qualifying_only
HPSI0115i-hecn_6,pool2,7.841100848637766,3.168400611207816,0.963636847840106,1.3047353086201083,3.0796538545545444,-1.6602644301528184,0.3428499369798653,0.7882705677586589,1.598741185724656,-2.324384363753232,0.5111287758346582,0.07790143084260731,0.20270270270270271,0.0794912559618442,0.11049284578696343,0.017488076311605722,0.000794912559618442,lodo,0,8,train,qualifying_only
HPSI0115i-hecn_6,pool3,3.2777308413576,2.3132884036673165,-1.826807787990922,1.0077833357647632,3.164313345337773,-2.6132013548253874,-0.9764886458245983,0.852731235760403,1.14420299713735,-2.1425065840034203,0.3502415458937198,0.11352657004830918,0.21980676328502416,0.05314009661835749,0.2584541062801932,0.004830917874396135,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-iiyk_2,pool5,-2.010366716413768,-1.4246569902945352,-0.9258631336291191,-2.307914307649691,-0.07264746398622364,1.479299938023867,1.7957540601965771,0.8482920321039049,-1.3599247937153605,3.5034897222735335,0.3915343915343915,0.1164021164021164,0.13227513227513227,0.031746031746031744,0.2857142857142857,0.042328042328042326,0.0,lodo,0,8,train,qualifying_only
