gene,gene_index,PC,loading,abs_loading
RP11-147G16.1,1275,PC8,-1.264572295607582e-05,1.264572295607582e-05
LINC00675,26386,PC8,-1.2476559813157982e-05,1.2476559813157982e-05
RP11-349A8.3,27538,PC8,1.2450174059015635e-05,1.2450174059015635e-05
RP11-324D17.2,25432,PC8,1.2351468918242612e-05,1.2351468918242612e-05
KRT38,27016,PC8,1.2145420087209539e-05,1.2145420087209539e-05
RP11-17G12.3,18770,PC8,1.2021841016890741e-05,1.2021841016890741e-05
KRTAP4-4,26995,PC8,-1.1791416889164797e-05,1.1791416889164797e-05
ITGAD,25274,PC8,1.1709172029406912e-05,1.1709172029406912e-05
RP4-753D10.5,28799,PC8,-1.1699939940696056e-05,1.1699939940696056e-05
RP11-30G8.1,23543,PC8,-1.1510048436659755e-05,1.1510048436659755e-05
ANKRD34C,24256,PC8,-1.1486158585954432e-05,1.1486158585954432e-05
RP11-114F10.3,21349,PC8,-1.1173687827302144e-05,1.1173687827302144e-05
PRKX-AS1,13260,PC8,1.1152487777610942e-05,1.1152487777610942e-05
AC092964.2,6838,PC8,-1.1150583058701667e-05,1.1150583058701667e-05
RP11-164C1.2,16870,PC8,1.113452895242418e-05,1.113452895242418e-05
RP11-517O13.1,22867,PC8,1.0929277706398421e-05,1.0929277706398421e-05
OASL,21567,PC8,1.0821471604820171e-05,1.0821471604820171e-05
TPRX2P,30876,PC8,1.0753866418797401e-05,1.0753866418797401e-05
HOXC9,20792,PC8,1.0684460230335433e-05,1.0684460230335433e-05
CARTPT,9026,PC8,-1.056058814076861e-05,1.056058814076861e-05
AC006372.5,13213,PC8,-1.0409981480399903e-05,1.0409981480399903e-05
RP5-1057I20.2,20587,PC8,-1.038267264938793e-05,1.038267264938793e-05
DEFA4,14337,PC8,1.0241285536228926e-05,1.0241285536228926e-05
CTD-3096M3.2,27980,PC8,-1.0226942793861157e-05,1.0226942793861157e-05
VN1R4,31152,PC8,1.0185448358334709e-05,1.0185448358334709e-05
RP11-274M17.3,21097,PC8,-1.014444857943656e-05,1.014444857943656e-05
RUVBL1-AS1,6443,PC8,1.0068587551758004e-05,1.0068587551758004e-05
RP5-937E21.8,14149,PC8,-1.0037223689552931e-05,1.0037223689552931e-05
RP11-480C22.1,19987,PC8,-1.002853257769377e-05,1.002853257769377e-05
C22orf26,32148,PC8,-9.95261841084846e-06,9.95261841084846e-06
AC104534.3,30537,PC8,9.69033721635442e-06,9.69033721635442e-06
RP11-713M15.1,15328,PC8,9.608446374114109e-06,9.608446374114109e-06
RP11-1148L6.5,13532,PC8,9.394383610947785e-06,9.394383610947785e-06
TAS2R8,20287,PC8,-9.279027600516982e-06,9.279027600516982e-06
RP11-203H2.2,10263,PC8,-9.220719551132487e-06,9.220719551132487e-06
RP3-333A15.1,1211,PC8,9.210848948446707e-06,9.210848948446707e-06
RP11-79C6.3,8765,PC8,9.194845518610866e-06,9.194845518610866e-06
GPR65,23179,PC8,-9.174649840081107e-06,9.174649840081107e-06
ADIG,29013,PC8,-8.947111988844021e-06,8.947111988844021e-06
RP4-657D16.6,1008,PC8,8.925469427453628e-06,8.925469427453628e-06
MAGEA3,14192,PC8,-8.879894228490634e-06,8.879894228490634e-06
CACNA2D3-AS1,5995,PC8,8.856482633012251e-06,8.856482633012251e-06
CTA-109P11.1,17971,PC8,-8.756425789134874e-06,8.756425789134874e-06
RP11-544D21.2,3070,PC8,-8.679695842844943e-06,8.679695842844943e-06
GOLGA6L19,24304,PC8,8.606080591287933e-06,8.606080591287933e-06
ASPA,26128,PC8,8.316639420116737e-06,8.316639420116737e-06
CTD-2516F10.4,18392,PC8,8.277129772849993e-06,8.277129772849993e-06
RP11-443G13.2,26745,PC8,8.175271714745283e-06,8.175271714745283e-06
GOLGA7B-1,17766,PC8,8.090554001460418e-06,8.090554001460418e-06
LIPC,23938,PC8,7.941770333324263e-06,7.941770333324263e-06
RP5-956O18.2,2979,PC8,-7.927148763746734e-06,7.927148763746734e-06
CTD-2089N3.1,8861,PC8,-7.902781483699282e-06,7.902781483699282e-06
AC090574.1,14943,PC8,7.833836062617334e-06,7.833836062617334e-06
AP000473.8,32265,PC8,-7.799848315829537e-06,7.799848315829537e-06
RP13-653N12.2,21684,PC8,-7.78462842708646e-06,7.78462842708646e-06
RP11-648L3.2,14852,PC8,-7.781781855514551e-06,7.781781855514551e-06
OR5AU1,22470,PC8,7.723072034767549e-06,7.723072034767549e-06
RP11-212I21.2,25445,PC8,7.679528003860156e-06,7.679528003860156e-06
OIT3,17477,PC8,7.638155260568662e-06,7.638155260568662e-06
OR52L1,18342,PC8,-7.58643632614929e-06,7.58643632614929e-06
RP11-702H23.4,19401,PC8,-7.550405367593521e-06,7.550405367593521e-06
RP4-555D20.3,5748,PC8,-7.532858322009353e-06,7.532858322009353e-06
SSX4,13522,PC8,7.489531028035681e-06,7.489531028035681e-06
RP11-123O10.3,21026,PC8,7.405305398555944e-06,7.405305398555944e-06
RP11-30P6.6,11148,PC8,-7.257877840727836e-06,7.257877840727836e-06
TBX5-AS1,21474,PC8,-7.228212873013941e-06,7.228212873013941e-06
CTB-79E8.2,9983,PC8,7.216031282306594e-06,7.216031282306594e-06
AC004237.1,9491,PC8,7.202230116811888e-06,7.202230116811888e-06
DEFB108B,19344,PC8,7.137042558500791e-06,7.137042558500791e-06
OPRD1,625,PC8,-7.082859208848551e-06,7.082859208848551e-06
CTD-2331D11.4,9164,PC8,-7.077959305953669e-06,7.077959305953669e-06
CTD-2194D22.2,8544,PC8,7.030397798418123e-06,7.030397798418123e-06
RP11-375B1.1,10048,PC8,6.925765284336215e-06,6.925765284336215e-06
CNTFR-AS1,15855,PC8,-6.872795034082643e-06,6.872795034082643e-06
CTD-2145A24.3,26516,PC8,-6.8258195492114605e-06,6.8258195492114605e-06
PRAMEF14,308,PC8,-6.728112812195174e-06,6.728112812195174e-06
KRT6A,20729,PC8,-6.728112812195084e-06,6.728112812195084e-06
RP5-843L14.1,29230,PC8,-6.586640080968153e-06,6.586640080968153e-06
RP11-420K8.1,801,PC8,-6.575919394947059e-06,6.575919394947059e-06
SPANXN5,13614,PC8,-6.483736310713199e-06,6.483736310713199e-06
RP11-552F3.13,27694,PC8,-6.4375232482582386e-06,6.4375232482582386e-06
RP11-3L8.3,15709,PC8,-6.377288477050447e-06,6.377288477050447e-06
IZUMO3,15786,PC8,6.261212888060218e-06,6.261212888060218e-06
AC005041.17,3973,PC8,6.257971035144744e-06,6.257971035144744e-06
RP11-58O15.1,6006,PC8,-6.230227967670225e-06,6.230227967670225e-06
KRTAP4-8,26988,PC8,6.193345294969204e-06,6.193345294969204e-06
CTD-2363C16.2,9884,PC8,6.127499232818202e-06,6.127499232818202e-06
RP11-461F16.3,21121,PC8,-6.123052338668178e-06,6.123052338668178e-06
AC133680.1,5599,PC8,6.12302933488382e-06,6.12302933488382e-06
CTC-367F4.1,9728,PC8,6.095873396877992e-06,6.095873396877992e-06
CTD-3149D2.3,30097,PC8,6.09116094761747e-06,6.09116094761747e-06
RP11-301L8.2,8453,PC8,-6.0290338438784065e-06,6.0290338438784065e-06
RP11-449J1.1,2899,PC8,-5.890552591772436e-06,5.890552591772436e-06
CTC-782O7.1,28261,PC8,5.870554046007133e-06,5.870554046007133e-06
CH17-132F21.1,4082,PC8,5.857171253975317e-06,5.857171253975317e-06
C15orf43,23797,PC8,-5.763040867844785e-06,5.763040867844785e-06
HOXD-AS2,4737,PC8,5.670582148142477e-06,5.670582148142477e-06
