gene,gene_index,PC,loading,abs_loading
RP11-856M7.1,28035,PC1,-1.640775358735939e-06,1.640775358735939e-06
MAGEA3,14192,PC1,1.6351637694309289e-06,1.6351637694309289e-06
AC011526.1,30640,PC1,-1.6292617663086762e-06,1.6292617663086762e-06
RP11-503C24.4,11756,PC1,-1.5496644811262591e-06,1.5496644811262591e-06
PRAMEF3,298,PC1,1.548515274123326e-06,1.548515274123326e-06
PRAMEF19,309,PC1,1.548515274123326e-06,1.548515274123326e-06
ELANE,29427,PC1,1.5094708846155426e-06,1.5094708846155426e-06
GYG2-AS1,13251,PC1,1.4714114195144046e-06,1.4714114195144046e-06
LIPC,23938,PC1,-1.4202530503702312e-06,1.4202530503702312e-06
AL109659.1,978,PC1,1.4135073779388256e-06,1.4135073779388256e-06
RP11-6I2.4,14984,PC1,-1.34273437873303e-06,1.34273437873303e-06
GML,15512,PC1,1.3357838287942598e-06,1.3357838287942598e-06
RP11-293M10.2,23079,PC1,-1.3300789314670697e-06,1.3300789314670697e-06
RP1-232P20.1,10236,PC1,1.2642966484429032e-06,1.2642966484429032e-06
KRT6A,20729,PC1,1.2357935969613076e-06,1.2357935969613076e-06
KRT38,27016,PC1,1.208826738189483e-06,1.208826738189483e-06
REG3A,4011,PC1,-1.2015269806087936e-06,1.2015269806087936e-06
GOLGA6L19,24304,PC1,1.1980473423734462e-06,1.1980473423734462e-06
CTD-2154H6.1,9282,PC1,1.1741888315233903e-06,1.1741888315233903e-06
CFHR5,2563,PC1,1.174180797390931e-06,1.174180797390931e-06
RP11-297C4.1,25218,PC1,1.1549088449641584e-06,1.1549088449641584e-06
ALDH1L1-AS2,6417,PC1,1.1493377550944956e-06,1.1493377550944956e-06
RP11-644F5.16,20845,PC1,1.1489431713573619e-06,1.1489431713573619e-06
CCL4,26839,PC1,1.1371234638041896e-06,1.1371234638041896e-06
FGL2,12439,PC1,1.1200404730384098e-06,1.1200404730384098e-06
KRT12,26970,PC1,-1.0976929699100318e-06,1.0976929699100318e-06
CERKL,4797,PC1,-1.075429163461563e-06,1.075429163461563e-06
CCDC179,18571,PC1,-1.0602529006501356e-06,1.0602529006501356e-06
CTD-2292M16.7,22419,PC1,-1.0593165094225634e-06,1.0593165094225634e-06
OBP2B,16710,PC1,1.0486632076960382e-06,1.0486632076960382e-06
RP3-416J7.4,10161,PC1,-1.0399232443427299e-06,1.0399232443427299e-06
AC005387.2,30131,PC1,1.0335856418240481e-06,1.0335856418240481e-06
CD48,2197,PC1,1.03028912444167e-06,1.03028912444167e-06
RP11-480D4.2,8611,PC1,1.0279350894174516e-06,1.0279350894174516e-06
RP11-704J17.5,11453,PC1,1.0078771834819927e-06,1.0078771834819927e-06
C22orf26,32148,PC1,-9.773497917658197e-07,9.773497917658197e-07
CTB-31O20.8,29485,PC1,-9.595769050667621e-07,9.595769050667621e-07
FPR2,31096,PC1,-9.17115984845865e-07,9.17115984845865e-07
CACNG5,27536,PC1,8.864751358726234e-07,8.864751358726234e-07
AC006946.17,31549,PC1,8.399132824518471e-07,8.399132824518471e-07
OR10K2,2132,PC1,8.316638235823814e-07,8.316638235823814e-07
CALML3-AS1,16924,PC1,-7.905947700875255e-07,7.905947700875255e-07
FAM138D,20053,PC1,7.398275153737183e-07,7.398275153737183e-07
RP11-789C17.5,28006,PC1,-7.129826279454022e-07,7.129826279454022e-07
RP5-1160K1.8,1504,PC1,6.853255905943174e-07,6.853255905943174e-07
RP11-536C5.2,2176,PC1,6.828198508745342e-07,6.828198508745342e-07
GJA8,1757,PC1,-6.805019252264877e-07,6.805019252264877e-07
VN1R4,31152,PC1,6.506448145271899e-07,6.506448145271899e-07
PSG6,30687,PC1,-6.065400298675846e-07,6.065400298675846e-07
RP11-39M21.2,23967,PC1,5.843076265850857e-07,5.843076265850857e-07
RP11-15M15.1,29202,PC1,-5.804525604707035e-07,5.804525604707035e-07
CACNA2D3-AS1,5995,PC1,5.739621737752338e-07,5.739621737752338e-07
SULT1E1,7650,PC1,5.414766163793658e-07,5.414766163793658e-07
RP5-1121A15.3,13202,PC1,-5.248787295028438e-07,5.248787295028438e-07
ZSCAN5C,31297,PC1,-5.158354753819686e-07,5.158354753819686e-07
RP11-732A19.5,18372,PC1,4.821895018742736e-07,4.821895018742736e-07
CTC-559E9.4,30181,PC1,4.793037442784922e-07,4.793037442784922e-07
SPACA4,30910,PC1,4.489225366898507e-07,4.489225366898507e-07
RP11-445L6.3,16444,PC1,4.293506097540406e-07,4.293506097540406e-07
RP11-415D17.4,11096,PC1,4.2620078924502963e-07,4.2620078924502963e-07
RP11-324D17.2,25432,PC1,3.6845956639452525e-07,3.6845956639452525e-07
ART1,18265,PC1,3.2994528713208766e-07,3.2994528713208766e-07
RP11-396J6.1,14930,PC1,-3.249262294867762e-07,3.249262294867762e-07
DEFA4,14337,PC1,3.240623886974892e-07,3.240623886974892e-07
RP3-333A15.1,1211,PC1,2.48498071601805e-07,2.48498071601805e-07
RP11-216N14.9,1978,PC1,-2.4609413246142465e-07,2.4609413246142465e-07
DLX6-AS2,12561,PC1,2.4305347030238905e-07,2.4305347030238905e-07
RP11-221N13.4,21011,PC1,2.05943885370466e-07,2.05943885370466e-07
CTB-186H2.3,26831,PC1,2.0502140068629327e-07,2.0502140068629327e-07
RP11-87N24.2,15703,PC1,2.0340913312221526e-07,2.0340913312221526e-07
CNR2,500,PC1,-1.6865538487494045e-07,1.6865538487494045e-07
AC006150.1,11955,PC1,1.6309835723199477e-07,1.6309835723199477e-07
KLRC1,20279,PC1,-1.5340972652694722e-07,1.5340972652694722e-07
RP11-465K16.1,14726,PC1,-1.2544621161896808e-07,1.2544621161896808e-07
