gene,gene_index,mean,var
COL3A1,4832,0.0013868495051830995,0.0032026070831503673
TMEFF2,4866,0.009617413447866699,0.016534629214920753
HSPD1,4893,11.558978907677508,21.803706553414145
HSPE1,4894,5.363375907852405,11.365148669937078
RP11-486F17.1,4907,4.3234199500995916e-05,7.277114881309252e-05
SPATS2L,4914,0.36898638349040486,0.5237355194246412
SGOL2,4916,0.3460650294771564,0.6774177634782443
NRP2,4971,0.46933479540311984,0.7898461744024333
MAP2,5017,0.6931518199046353,1.1376567442810321
FN1,5046,0.07335935833599298,0.21152578786780624
RPL37A,5068,51.67203227766246,204.05088906037872
IGFBP2,5071,5.818379547100741,38.832996506739256
IGFBP5,5072,2.746295830581394,19.015451457480495
TNP1,5076,0.00013907454807865398,0.0001987957302694733
AC007557.1,5080,2.476630312335849e-05,4.4056990592851134e-05
RP11-459I19.1,5110,9.531746596653059e-05,0.00013330345389186735
PRKAG3,5111,9.52218265609734e-06,1.970029745422298e-05
WNT6,5112,0.001931616712311457,0.0036070880793745252
AC097468.7,5115,4.239158348663836e-05,7.165118154031319e-05
FEV,5118,0.0004076690858750636,0.0006616869516966098
CRYBA2,5119,0.0007356446534349268,0.0015760396539033338
TUBA4A,5134,0.026363380721087338,0.043454504984495976
RESP18,5138,0.004426513196703593,0.006482731296459967
DES,5141,0.009439473115487785,0.015680596768295477
ASIC4,5147,0.00972007392838951,0.015923593945961746
PAX3,5167,0.05156057001470981,0.12913540923502928
CCDC140,5168,0.0026180488920576764,0.007378852577908234
ACSL3,5174,0.42603689586895516,0.5870572852199546
SCG2,5179,0.0019855976651208026,0.004211098964729659
SERPINE2,5184,0.5826803349848806,0.9742990477537546
NYAP2,5189,0.0010117547945533792,0.00329622262596793
IRS1,5192,0.14553376980911079,0.20891028146246568
MFF,5198,1.5164073610836237,2.0809563870242096
TM4SF20,5199,2.023474746597985e-05,3.321306938966549e-05
ITM2C,5221,2.32053795289063,4.255482480799211
NCL,5233,6.025105455859273,15.206277794016415
PTMA,5237,45.82206409276894,294.3431368761662
ALPP,5243,0.0001535433363107621,0.0004859628994606866
ALPPL2,5245,0.013466723566710493,1.0260749848862394
PRSS56,5249,0.004134269701117247,0.016813561977550802
HJURP,5279,0.3224165471922162,0.6285240374174148
ACKR3,5299,0.005921785772557569,0.008440233324719812
COL6A3,5306,0.006675633481664945,0.011248934090031991
AC112721.1,5307,9.335503616877987e-05,0.0003102693111648471
PRLH,5310,9.390698053987037e-06,1.9159999641792937e-05
AC104667.3,5312,0.0020071404222249912,0.00623231692680273
RAMP1,5316,0.006571520483757001,0.009766683134415869
HES6,5325,0.3399861177023021,2.611287706409506
AC017028.1,5339,3.4306902863292836e-05,4.7080820844770895e-05
AC093802.1,5344,0.00031452393022746665,0.0015060608037414972
C2orf54,5367,0.00025997559823921437,0.0006516399144267852
CHL1,5410,0.010357266899032443,0.014155683895462352
BHLHE40,5433,0.24357908953924476,0.9277381717523612
LMCD1,5450,0.06339159320015744,0.10606973889592931
FANCD2,5489,0.28737576089451655,0.3938847064429743
TMEM40,5518,0.0026111136636260356,0.005723136596911629
SGOL1,5581,0.36238836935641433,0.5018949581205929
ZNF385D,5586,0.12262192821335452,0.32262076575254833
LINC00691,5596,0.00014655392131468934,0.00020148803273568774
AC133680.1,5599,1.686728447639356e-05,2.9076370892225197e-05
RP11-222K16.1,5610,0.0001674370684242,0.00023779664194440938
EOMES,5612,0.0015136095192872093,0.002790818012918408
CTNNB1,5713,1.0575470256255437,3.302031172424579
CCK,5716,0.05955672959259404,0.514922343911551
HHATL,5727,0.00047435415101597476,0.000693203085401118
RP4-555D20.3,5748,1.6514965366311715e-05,2.2585424499254858e-05
TDGF1,5798,0.0004957980966000233,0.002074360070508001
TMA7,5830,5.774050142161172,9.104383880699586
IMPDH2,5858,5.505349849669307,7.597135282425111
KLHDC8B,5865,0.6776377080279351,1.0431811295278632
RP11-3B7.1,5868,0.00010940966880978092,0.0002517934130717729
BSN-AS1,5880,6.794749788727036e-05,0.00010649902875459191
CAMKV,5891,0.053360463261912114,0.08989450258176016
MANF,5926,1.4291437791830248,2.369123187380077
GRM2,5931,0.009842321780546205,0.01630229493989531
IQCF5,5936,7.345884355697731e-06,1.1724327338854212e-05
PCBP4,5941,1.4994353789449582,5.237553441110046
TKT,5985,4.339718240699403,5.9443902533068105
CACNA2D3-AS1,5995,3.166150963575109e-05,4.347912742009321e-05
LRTM1,5996,0.07652501654669601,0.23048421280368642
RP11-64C1.1,5999,9.117446842106959e-06,1.806118508552104e-05
RP11-58O15.1,6006,6.5765844328825915e-06,9.397245382887393e-06
FAM107A,6038,0.33580110684424636,0.5218247401250644
FEZF2,6051,0.3527514583601815,0.620289347967366
SYNPR,6054,0.0003793551115293954,0.0005519960416939229
FOXP1,6100,0.3607427205684376,0.4945987126777772
FRG2C,6125,5.7470117542607406e-05,0.00013518312210522012
ROBO2,6128,0.018665430810494512,0.02749674053819889
GBE1,6138,0.7680201987451731,1.1096310585903353
RP11-451B8.1,6152,1.3582894237965724e-05,2.8604953373314633e-05
COL8A1,6195,0.0013234767668630334,0.0018267534046505552
NXPE3,6217,0.047647491620397886,0.09480336650691282
RP11-446H18.5,6228,3.25037920609594e-05,5.120197985776848e-05
IFT57,6237,0.964506838162364,1.679528993727216
TAGLN3,6265,0.4743057889290621,3.176882859940309
CCDC80,6278,0.15153018800721507,0.20800295295049626
BOC,6288,0.13528387674192022,0.2144841607351738
GAP43,6315,0.14662291099198985,0.9044294084789479
FSTL1,6352,1.0666487736657215,2.278213848294845
SLC15A2,6366,0.00371091301104498,0.0062344103368878415
FAM162A,6372,5.509052311111469,13.429448565660277
MYLK,6391,0.0370489811776681,0.06574990786230558
ROPN1,6395,8.976007237490066e-05,0.0001265170065001686
ALDH1L1,6415,0.0031776156610859464,0.004396294999157242
MGLL,6439,0.004122479414012744,0.006617118857945603
RUVBL1-AS1,6443,2.0226978350267037e-05,5.442564103641045e-05
DNAJB8,6445,6.415836161587352e-06,8.94347514979902e-06
GATA2,6447,0.004021548610786121,0.007143723173848314
H1FX,6467,2.0305727693611897,5.24969533333709
TRH,6478,0.023774996707201203,0.0643904517972357
RP11-102M11.2,6527,0.005984219211619963,0.011203891811209102
SOX14,6534,7.022637567406414e-06,1.0715199568296304e-05
RP11-2A4.3,6535,1.2761883059019432e-05,1.8951776305538433e-05
RBP1,6562,2.323053514533693,6.085330151692314
GRK7,6582,0.00013244739059801213,0.00026045394470262815
PLSCR5,6616,0.001177555909967004,0.0019811665806957032
GYG1,6634,0.5586565451023722,1.1691258210546254
RP11-206M11.7,6639,0.00019156190546945157,0.0005122343037647105
TM4SF18,6640,0.0023270354296459016,0.006272533524730187
TM4SF1,6641,0.002425545200843175,0.010211477463984027
TM4SF4,6644,1.9075623932278753e-05,2.810722714446042e-05
PFN2,6650,3.40344160130091,5.9584690200034665
IQCJ,6750,6.412398766817523e-06,8.933894381848319e-06
SMC4,6760,1.3719413827518399,3.5493445187201047
TRIM59,6761,0.27513998282782504,0.508470204053626
NMD3,6767,1.0087167768916756,1.657384433738551
RP11-450H5.1,6783,1.9327404732006718e-05,2.7410224372266033e-05
SERPINI1,6790,0.08892483170499055,0.12989364314755653
CLDN11,6825,0.09176473554654599,0.2845763278533646
RPL22L1,6828,1.2028358575667024,1.9172272891629258
AC092964.2,6838,6.572973110875406e-06,9.386928308067916e-06
NAALADL2-AS2,6851,6.984119542661586e-06,1.0597979733827275e-05
RP11-2L8.2,6867,2.0354176359242784e-05,3.3585607803055246e-05
SOX2,6903,3.4870825022379885,6.415241038264686
EIF4A2,6985,10.709548070152023,22.057808341193436
ADIPOQ-AS1,6990,2.47839465876224e-05,3.759582603403854e-05
MASP1,6995,0.009774202349549479,0.01387625111595588
SST,6998,0.012430015721383808,0.981923050085538
HES1,7051,2.2187080736729707,5.83014520176969
AC090505.4,7069,0.0006571097429070451,0.006558670986991165
SLC51A,7092,0.003219666855801086,0.004450150842807746
SPON2,7169,0.03183672614688641,0.061205135722007836
NKX1-1,7176,7.148461578640366e-06,1.1102606715450207e-05
TACC3,7183,0.32025383999849266,0.6325422918061364
NSG1,7226,0.08906674432146375,0.12764191693160643
MSX1,7230,0.1416781090600851,0.275875440667328
CRMP1,7236,0.3508506311494343,0.6203671166163617
S100P,7250,0.001164050926352712,0.0036212315520104932
RP11-689P11.3,7275,1.8470314350303133e-05,2.705490037842171e-05
RP11-1338A24.1,7279,3.396314802365169e-05,5.5242306953239984e-05
CLNK,7310,0.0021774914785571827,0.00316559164234411
TAPT1-AS1,7348,0.024000668010937018,0.07408703536570507
SLIT2,7366,0.28174978986496124,0.44254604414751525
SLC34A2,7393,0.0029040371702684685,0.05487682089657344
RP13-494C23.1,7397,2.798513678429535e-05,4.148962692654667e-05
RP11-240A16.1,7420,1.3236527746432414e-05,1.9749077146887613e-05
RP11-617D20.2,7446,3.3793105344151994e-05,5.402130372914682e-05
TMEM156,7453,0.0009506945159679089,0.0021798959279275753
UGDH,7462,1.423866851118534,2.218798304193077
UCHL1,7479,3.1001016947153555,7.816190746247884
PHOX2B,7482,0.00040273404316833883,0.0008199370497139928
RP11-227F19.1,7483,7.294545040494667e-05,0.00010230998826221761
GABRA2,7510,0.11515213930521963,0.16248718315674446
COX7B2,7512,3.94211560529583e-05,6.453646146241017e-05
CORIN,7518,0.009562859046531128,0.018457967995967637
TXK,7523,5.838372878978809e-05,8.409504450083086e-05
ZAR1,7527,0.00040366104900746143,0.0012390007154838816
OCIAD2,7531,1.536638333075399,2.425880225891987
RASL11B,7544,0.21183769123223417,0.38590252315309315
NMU,7571,0.6270120007459002,0.857551277120392
HOPX,7586,0.0021185959104385067,0.010794425464822609
IGFBP7,7592,0.04222498595346688,0.45264086326949476
IGFBP7-AS1,7593,4.594731571516649e-05,7.403594082686808e-05
SULT1E1,7650,2.1502723114280404e-05,3.166826497466685e-05
HTN1,7655,3.0042955932907936e-05,4.1803539040436174e-05
NPFFR2,7678,0.0050216045655552015,0.007362565736228662
IL8,7691,0.00025300882204031563,0.005265786756959576
CXCL6,7692,0.002879817660362043,0.004121233573966826
CXCL1,7694,0.00044587469724895537,0.000837421539223309
PPBP,7696,1.533099245865643e-05,2.560194757277032e-05
CXCL5,7697,0.012317912209911887,0.032090488879098135
CXCL3,7698,0.018332917995412413,0.03141910655446797
