gene,gene_index,PC,loading,abs_loading
GPM6B,13315,PC7,-0.016770925905360053,0.016770925905360053
PEBP1,21512,PC7,-0.01672019379802463,0.01672019379802463
CELF3,1883,PC7,0.01670337382176439,0.01670337382176439
BST2,30081,PC7,-0.01659888583676776,0.01659888583676776
DUSP1,9986,PC7,0.01650034179697796,0.01650034179697796
RRM1,18272,PC7,0.01647832832868254,0.01647832832868254
PDLIM2,14522,PC7,0.016446160712695355,0.016446160712695355
HELLS,17708,PC7,0.01641280221180606,0.01641280221180606
GAP43,6315,PC7,0.01640929785953939,0.01640929785953939
PYCR1,27858,PC7,-0.0162660171082702,0.0162660171082702
FHL1,14088,PC7,-0.016204980199079077,0.016204980199079077
TIMP3,31891,PC7,-0.01619747209372292,0.01619747209372292
PRRX1,2347,PC7,-0.01608095409298504,0.01608095409298504
ELF3,2624,PC7,0.015981288533445253,0.015981288533445253
LGI1,17699,PC7,0.015916848883131215,0.015916848883131215
ATP2B1,21195,PC7,-0.015894656919597933,0.015894656919597933
SVOP,21385,PC7,0.01587810815038583,0.01587810815038583
ATP1A3,30659,PC7,0.01587536240735248,0.01587536240735248
MANF,5926,PC7,-0.015859342043195238,0.015859342043195238
NHLH2,1621,PC7,0.015597558983009205,0.015597558983009205
PCOLCE,12642,PC7,-0.015476814611138989,0.015476814611138989
P4HA2,9478,PC7,0.015437466004410037,0.015437466004410037
HES7,26315,PC7,0.015415488135255331,0.015415488135255331
IDH2,24402,PC7,0.015396471241160706,0.015396471241160706
MKI67,18069,PC7,0.015352877250743725,0.015352877250743725
VCAN,9155,PC7,-0.01522840908971485,0.01522840908971485
SERPINF1,26085,PC7,0.01515234026599363,0.01515234026599363
KLF6,16901,PC7,0.015132666437424423,0.015132666437424423
KIF20B,17664,PC7,0.015023177259756312,0.015023177259756312
TUBA1A,20638,PC7,-0.014932937344998185,0.014932937344998185
ZFP36L2,3667,PC7,0.014899212401228792,0.014899212401228792
HIST1H2BD,10422,PC7,-0.014859409483037772,0.014859409483037772
TAGLN3,6265,PC7,0.014851628723933478,0.014851628723933478
ID1,28867,PC7,-0.014821689529485673,0.014821689529485673
CCDC19,2168,PC7,-0.014811920542416611,0.014811920542416611
TPX2,28872,PC7,0.01476027770416363,0.01476027770416363
KIF23,24086,PC7,0.014754325197061007,0.014754325197061007
GTSE1,32158,PC7,0.014748518654564096,0.014748518654564096
IFI6,594,PC7,-0.014747667506114845,0.014747667506114845
ASCL1,21314,PC7,-0.01470583708734401,0.01470583708734401
NDC80,27946,PC7,0.014661442155456488,0.014661442155456488
CELF4,28249,PC7,0.014630134445076602,0.014630134445076602
NTRK1,2105,PC7,0.014594124372363694,0.014594124372363694
TCP10L,32414,PC7,0.014521147466652333,0.014521147466652333
CALM2,3713,PC7,-0.014473863903039837,0.014473863903039837
BUB3,18024,PC7,0.01439816959105589,0.01439816959105589
BTG3,32270,PC7,0.014365819113672943,0.014365819113672943
SNRPD1,28116,PC7,-0.014361124093643724,0.014361124093643724
ATF5,31003,PC7,0.014333721515755128,0.014333721515755128
GNG3,19034,PC7,0.014307505370010062,0.014307505370010062
MVP,25176,PC7,0.014291620918912012,0.014291620918912012
EMP3,30894,PC7,0.014242247516106211,0.014242247516106211
ELAVL4,988,PC7,0.01421029943012067,0.01421029943012067
APCDD1,28030,PC7,-0.014204242787423674,0.014204242787423674
ARHGAP29,1376,PC7,0.014149573097032114,0.014149573097032114
HNRNPAB,10090,PC7,-0.014128803017885718,0.014128803017885718
CCK,5716,PC7,-0.013978253429690734,0.013978253429690734
HMOX1,31909,PC7,0.013962913013876794,0.013962913013876794
POU3F2,11219,PC7,-0.013958465115246309,0.013958465115246309
G0S2,2757,PC7,0.013844231770315562,0.013844231770315562
SCGB3A2,9752,PC7,-0.013756119714123856,0.013756119714123856
