cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HPSI0214i-giju_3,1.6834953056496815,-4.682142535843979,-3.57064591581042,1.3129616927481247,0.0766658383537049,-0.807094434058881,0.2872894467142254,0.7099802863958309,-0.934324323932509,2.1605715109579915
HPSI0214i-heth_1,-9.642861973296593,6.956148609479735,2.112346232496168,-1.0855223679653736,0.20065079210785877,-1.396940849182363,-0.23953618376858557,-0.4561866374448785,-0.8026887025925087,0.6638387169250882
HPSI0214i-pelm_3,6.881186310773646,-0.25963950454354084,-3.8548584064241034,1.536149444142235,3.5464592226985063,-2.188839628485213,-0.4722371052659097,0.3967164081534659,1.3175968400243148,-1.7820789857511752
HPSI0214i-poih_2,1.9189323090696757,-1.7648149356030944,-0.9810250949817574,-1.6164969900779185,-0.029627610713434626,-0.07774149451212374,2.123754797155048,0.35642871043056557,-1.5230739555101984,3.5718019200789177
HPSI0214i-rayr_1,17.24800133147082,3.998623931214501,-0.643072826602601,1.171573323289169,1.2293675838748945,-4.085387871272003,3.6686494839948947,-0.038099929329888635,1.4864993685654995,-2.657877120391967
HPSI0215i-deyz_2,0.8599345026300771,-2.7461068651689047,-1.315373298546748,0.35265792694038967,2.756437686696538,1.3540074905720603,-0.3276498283036588,0.43397344305194585,-0.30820577149325507,2.6860491557252177
HPSI0215i-fawm_2,4.742541888332932,-3.8977602006730807,-3.8536550581173676,0.23646714904834673,2.072284045441161,-0.16350290131533074,-0.6970992836585722,1.7904542722968566,-1.7211073224878999,2.923085565387701
HPSI0215i-hipn_1,2.3907768642653475,2.454779772706403,0.8315469568284211,0.2200468267046533,-0.11157804465310363,-0.8956563850915167,1.42596897093329,0.30396605583598,0.03598875863001613,0.343416566543669
HPSI0215i-oilg_1,-4.547061410559578,5.333511939203066,3.1349014524024272,-1.833485275005126,-1.7879070449906758,-0.4686103463246047,-1.1720048427559342,-0.6888698836002642,0.17081067036223188,-1.19286721399895
HPSI0215i-romx_1,-6.857975223321466,5.165989987357225,2.0371327052798054,-1.1803018449566132,-1.254458871092305,0.41067355022886165,-0.6126527309386205,-0.6815630165685437,-0.4044578966640821,0.5879809662853133
