cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split
HPSI0514i-fiaj_1,pool4,-1.573240229958372,-1.994673963224282,3.1693174329308382,-0.19181736929480772,1.1549415098727396,1.1162869339991965,-0.8348626286969077,1.1396629451707119,1.2338150609018785,1.573540245781985,0.5727058823529412,0.13976470588235293,0.28752941176470587,donor_grouped,0,1,test
HPSI0514i-fiaj_1,pool5,-1.4876516500194132,-1.6993653621948726,2.8643672827150195,-0.7791650480749033,-0.09328009503629614,-0.9032386667880387,-1.9853201686036932,0.5867259224365928,-0.2583909215882879,1.5017581579673207,0.5501742579016945,0.1150102151183752,0.3348155269799303,donor_grouped,0,1,test
HPSI0514i-lako_1,pool2,0.6642367986877928,6.151623507280758,0.5830280904992251,2.8765056087702967,-0.20520454173662558,0.1616824315259941,0.3409019725496496,-2.6560122551975787,0.45808347512783115,-2.410442679558618,0.5833956619296934,0.008227374719521317,0.4083769633507853,donor_grouped,0,1,test
HPSI0514i-lako_1,pool4,0.8345809817825067,2.542379695825992,-1.3904398266406992,2.1664771247946417,0.140914611892203,2.559767719417478,2.9983189432230577,-0.28434834805618775,1.8681619584215383,-1.4932415877084328,0.5469522240527183,0.0,0.45304777594728174,donor_grouped,0,1,test
HPSI0514i-naah_2,pool7,-1.10001310328092,5.8939193839810375,-0.75642968697635,-1.0047506159052049,-0.027352900752363494,-0.6854054259099902,-1.7090928635589053,0.5506202706979736,0.04029699112637664,0.5258438081375797,0.6702127659574468,0.0,0.32978723404255317,donor_grouped,0,1,test
HPSI0514i-oekw_2,pool8,-0.10914218055176717,-3.8243823454224866,-1.0674495903010939,-1.8133270638974341,1.026626609268317,1.3644824057975409,-0.4146632215871615,0.12377755861299673,0.10846389642160126,1.2531987023133027,0.499546690843155,0.043517679057116954,0.45693563009972804,donor_grouped,0,1,test
HPSI0514i-oupf_6,pool9,2.9484302605392627,-0.4640020389347667,-2.135189519081021,0.7689273766808954,2.0606198860799734,1.6370298982455573,1.3600179938721173,-0.2146397261629269,-1.1050374332389603,0.16980363428327436,0.47703375760929717,0.0005534034311012728,0.5224128389596016,donor_grouped,0,1,test
HPSI0514i-qihv_1,pool6,-0.6277916535043068,-2.446107636276475,-0.036342856186751656,-0.7501110512923697,-0.6284736770352366,-1.1362051883971644,0.5736889360514211,-0.6323371688293928,-0.9626604810238792,0.39913351381051293,0.5074626865671642,0.04477611940298507,0.44776119402985076,donor_grouped,0,1,test
HPSI0514i-rutc_2,pool7,-0.230297753746093,6.205842142893233,-1.3842987213546805,1.0998789123156294,-1.5396025567543186,0.04684411608402753,2.1397131290827893,0.5265441677240871,0.681576181190176,-0.8254870073019225,0.6414342629482072,0.0,0.35856573705179284,donor_grouped,0,1,test
HPSI0514i-sohd_2,pool7,-0.38589255079301693,5.575372453254126,-0.6833479398446998,-0.08892328461865079,-0.52426686624322,-0.8768540762702923,-0.6406565662700157,0.5581195281925242,-0.06680465320592885,0.01764718299659715,0.6554621848739496,0.0,0.3445378151260504,donor_grouped,0,1,test
HPSI0514i-suul_1,pool6,-0.9949055750699196,-0.22912877867116835,-0.9533121933940493,1.2479582385285537,-3.2773552511448996,-2.252525645940182,2.2211029568817047,-1.3310551604390646,-1.9123090839522239,0.03220912100875501,0.6098901098901099,0.001098901098901099,0.389010989010989,donor_grouped,0,1,test
HPSI0514i-tert_1,pool6,0.8923892919335764,-1.2412655402075727,-1.107690669751904,0.14044475593528893,-0.29948415951824303,-0.7170818029846774,-0.16826723053260578,-0.44026033677705123,-1.6213451966586434,0.0693531490503864,0.5364238410596026,0.003532008830022075,0.46004415011037525,donor_grouped,0,1,test
HPSI0514i-uenn_3,pool2,-1.0424295827050991,3.5678681717774854,3.5192453789908105,1.9038638770977434,0.673567791769192,-1.1082167159946017,-1.909549753924701,-1.8366270798501325,-1.1302428288702058,-0.18919976308444775,0.5959595959595959,0.12457912457912458,0.27946127946127947,donor_grouped,0,1,test
HPSI0514i-uenn_3,pool3,-0.866827549728318,0.6021562841980195,1.1080155746634777,3.188979400950619,-1.1817925176831083,-1.238480722006643,-0.03880209620076439,-1.321369258186943,-1.1521424814770465,-0.2442996858508504,0.5833333333333334,0.06159420289855073,0.35507246376811596,donor_grouped,0,1,test
HPSI0514i-wiii_3,pool7,-2.702380882325699,1.6834109777873294,7.453533572478227,-0.764392071993997,1.5490421894693132,-1.717524383450976,0.40602437458214047,0.5559241365416905,0.47996458337141545,-0.9515163014527148,0.47096774193548385,0.23225806451612904,0.2967741935483871,donor_grouped,0,1,test
HPSI0514i-wiii_3,pool8,-1.0338019677062165,-4.077856393662557,2.21097321054128,-1.8593996473361474,1.6941221705024567,1.0486051415912714,0.33844467143430174,-0.24891633917635747,0.4811503911004851,0.5908743673622772,0.45537757437070936,0.13157894736842105,0.41304347826086957,donor_grouped,0,1,test
HPSI0514i-yewo_4,pool7,0.472564410277868,6.413014619436488,0.0312070136274281,2.0790445667825717,-2.0976768041855967,-0.5789275296842334,-0.7673861148101315,0.8005832842464138,-0.12691217072893266,-0.7994771098166941,0.7261904761904762,0.005952380952380952,0.26785714285714285,donor_grouped,0,1,test
HPSI0613i-aevs_1,pool11,2.7159553558747485,9.580313941537282,7.6764936369338646,1.1424802009813892,4.580239644790748,-13.587310029119978,1.8789441720180722,29.477650903223417,10.722484994680789,6.915309310608957,0.2767940354147251,0.1724137931034483,0.5507921714818267,donor_grouped,0,1,train
HPSI0613i-bawa_1,pool11,6.919287842643724,14.015009651119133,2.3266980239541546,2.9945874559711796,4.417387727638812,-12.19028890449102,4.999397276109597,29.770512172020492,12.085897401863129,3.919317526487664,0.253028263795424,0.0013458950201884253,0.7456258411843876,donor_grouped,0,1,train
HPSI0613i-bohf_1,pool11,4.731120975730812,11.542968109546536,2.7044563573791143,3.6293160471412604,3.894928566752567,-11.661796008203947,3.218176413026899,29.027487873198858,11.955316803855048,5.677863702501472,0.37245392822502427,0.002909796314258002,0.6246362754607178,donor_grouped,0,1,train
HPSI0613i-eojr_2,pool11,4.743071818754747,13.78507123414832,2.658748995561426,2.6321392571360165,4.644554806881892,-12.716733043063105,2.3641020466297804,30.225694285211535,11.855081347334348,5.806247943894116,0.368,0.0,0.632,donor_grouped,0,1,train
HPSI0613i-hegp_3,pool11,4.741013482535065,11.8230358071228,2.0436868693590116,2.539361254534549,4.030606201647554,-12.406891038380781,5.267963105016527,29.197295654359554,10.905832893129299,5.126238722319275,0.3261802575107296,0.008583690987124463,0.6652360515021459,donor_grouped,0,1,train
HPSI0613i-hikj_2,pool11,5.199516317952717,11.606711351088736,2.6334472311588883,3.2283378135699277,3.547994643403741,-12.19403015905193,2.87392833072033,28.090924139516936,10.732649933425703,5.572302617251774,0.34,0.013333333333333334,0.6466666666666666,donor_grouped,0,1,train
HPSI0613i-lizq_3,pool11,4.276915683647771,12.263287605192414,1.747053329325572,1.9164652005572498,3.195801849642275,-11.671372786912931,5.692230290611447,29.028358161841727,11.478476974245591,4.67962003338942,0.3287435456110155,0.0034423407917383822,0.6678141135972461,donor_grouped,0,1,train
HPSI0614i-juzt_4,pool7,-1.9717413254444933,2.5335080364546507,1.970402818987839,-0.499854019421189,-0.5853627972222605,-1.6453212459709141,-1.9218931353807294,0.6039281559459301,0.23247829361823713,0.1238752068237771,0.5927835051546392,0.09278350515463918,0.31443298969072164,donor_grouped,0,1,train
HPSI0614i-liqa_1,pool1,-0.4764360248333037,7.2327591429868425,-0.494874699506227,0.37562145190024815,-0.23931759633798477,0.6594971641967361,1.3474453664214314,-1.4875554510456415,1.602895312308238,0.8930249949437765,0.6385579937304076,0.0025078369905956114,0.35893416927899685,donor_grouped,0,1,train
HPSI0614i-lirf_5,pool5,-1.809460945226798,-1.2499610663089744,3.1089159995466744,-1.2876102301068773,-0.15406192305487446,-0.5353013628821535,-2.299444107564461,0.36017427287526277,-0.09003936782833193,1.4488983448579666,0.5536892621475705,0.1235752849430114,0.32273545290941813,donor_grouped,0,1,train
HPSI0614i-miaj_4,pool8,-2.3151112483976535,-5.869954828959495,0.8319405694842282,-0.5685880550361745,-0.6444904918821579,1.060280342815571,-1.4621094909496435,0.28684588808954226,1.5487365207962072,0.6875715979855053,0.5561959654178674,0.0845341018251681,0.35926993275696445,donor_grouped,0,1,train
HPSI0614i-oicx_2,pool5,0.7411026008237125,2.2999515552434295,-1.3022655597721287,-0.8627658024637342,0.32713638038117776,0.06262837756247974,0.273008459306092,-0.4392020550487252,-0.5300596972994496,0.8955083397931815,0.53125,0.0,0.46875,donor_grouped,0,1,train
HPSI0614i-puhk_2,pool9,-0.7481998037197367,-3.071840255547452,2.6783388450621035,-1.1102911401081614,2.098190650376503,1.199994149598976,-0.18929214302899666,0.3077457617680868,-0.27722890438175696,0.7080031639120474,0.48785166240409206,0.1460997442455243,0.36604859335038364,donor_grouped,0,1,train
HPSI0614i-qunz_2,pool8,1.5908058307444515,-1.5503037041237748,-2.253505078812629,0.6542263131102044,1.7460363115727682,2.495496467136131,2.158769279696169,-0.14293708503092237,-0.21123915470762683,0.15685456632910447,0.5113636363636364,0.002840909090909091,0.48579545454545453,donor_grouped,0,1,train
HPSI0614i-uevq_6,pool2,-1.759320289726354,1.7573637941805313,3.9068901892756367,0.352404678883392,0.6664331611960883,-1.4947386105608214,-1.630781446476622,-1.6277215875615467,-1.0562509811811804,0.05551084547128182,0.5681274900398406,0.14422310756972112,0.28764940239043824,donor_grouped,0,1,train
HPSI0614i-voce_1,pool6,-0.9139195086968045,-2.7426035165050955,-0.035416376598277365,-0.24189360796353437,-1.1324262823037918,-0.6496188335999548,-0.9125680875573721,-0.03700115414356007,-0.8440835077731187,0.518747317353426,0.5650205761316872,0.03827160493827161,0.39670781893004115,donor_grouped,0,1,train
HPSI0614i-wihj_4,pool7,0.6819084858513507,5.330365405002169,-0.18345269552241777,0.31717017613945947,-0.32127492824931114,-0.8832023209997316,-0.05003505907057953,0.7070786505166945,0.02597402544299337,-0.18750140997559808,0.6376021798365122,0.008174386920980926,0.3542234332425068,donor_grouped,0,1,train
HPSI0714i-burb_1,pool4,-0.4429303507171365,-0.9089213264580494,0.5629028687412906,0.1356818560373066,0.21176964878690543,1.6301891285442518,-0.5585553384126505,1.0034411658095372,1.2301761679872738,1.2528717418206705,0.6045673076923077,0.056490384615384616,0.3389423076923077,donor_grouped,0,1,train
HPSI0714i-burb_1,pool5,-0.5650226284818735,-0.39318654822680643,0.7556246404753076,-1.1327041200287058,-0.7341470898327183,-0.25661153432456374,-1.4013599687453182,0.19203944101053272,0.14243406213708126,1.214407626124309,0.537910447761194,0.042388059701492536,0.4197014925373134,donor_grouped,0,1,train
HPSI0714i-iudw_1,pool1,0.3182053542019988,5.589690312347103,-0.35996460166801914,-0.8029502581303106,0.14396657205063726,0.14973532529232395,1.0585677770707105,-1.12890153151672,0.6807668994720395,1.3623345027107416,0.5746212121212121,0.00946969696969697,0.4159090909090909,donor_grouped,0,1,train
HPSI0714i-keui_4,pool7,-2.5728547623456466,-0.06291128262710835,4.976089139027787,-1.8385719144328747,0.05677756061254486,-2.0213836178944407,-1.105798580735971,1.4427689706825066,-0.007879134320978146,0.2048848954725003,0.5054945054945055,0.19505494505494506,0.29945054945054944,donor_grouped,0,1,train
