model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,8,C=100.0,0.9466021825396826,0.0050532114070155065,0.9684207846157676,0.0036540526980660746,0.9019345238095238,0.011206366068605502,0.9229166666666666,0.00878410461157886,0.880952380952381,0.02749286996141076,0.934609300984236,0.004251177024296667,0.07565153738431848,0.005651439748434019,plain,False,flat,,
logistic_l1,9,C=0.01,0.49826388888888895,0.007035378740540106,0.695181411018381,0.004428801733298528,0.4973214285714286,0.0060973581330830435,0.5208333333333333,0.19413417706242173,0.4738095238095238,0.19584046962761742,0.5760028678197495,0.13360298142397758,0.24982837095247765,0.004076873289149117,plain,False,flat,,
logistic_l1,9,C=0.1,0.9631696428571429,0.0035331986849137134,0.9799859009962397,0.0036842043082629477,0.9086309523809524,0.007438822567566417,0.9458333333333334,0.006588078458684106,0.8714285714285713,0.016647759494764332,0.9448495950304856,0.0036168718733083634,0.08122622319437428,0.002171137621283762,plain,False,flat,,
logistic_l1,9,C=1.0,0.9570436507936508,0.003816902599078891,0.9750653773309892,0.0031465401265335946,0.9212797619047619,0.015436074380821388,0.9354166666666666,0.004392052305789389,0.9071428571428571,0.028505214279472998,0.9467877718583836,0.0073694871927611014,0.06381812210982454,0.0036248803108606797,plain,False,flat,,
logistic_l1,9,C=10.0,0.9525545634920635,0.0041154528999451075,0.9724889134634779,0.004612478468815549,0.9041666666666666,0.011326480604644022,0.925,0.008216777476527265,0.8833333333333334,0.020847500851688433,0.9362165683120331,0.006275197566697501,0.07136337795594128,0.003931208463984402,plain,False,flat,,
logistic_l1,9,C=100.0,0.9478918650793652,0.004531826072744862,0.9693792381788345,0.005295989294452592,0.8969494047619048,0.012907552391755226,0.9177083333333333,0.005912981377057766,0.8761904761904761,0.027030772009406984,0.9308185267699216,0.005530243693954205,0.07782377494813912,0.005103686031015337,plain,False,flat,,
logistic_l1,10,C=0.01,0.4997271825396825,0.010298185311066153,0.6958552693059381,0.005950701148317895,0.5011904761904762,0.005808021289568045,0.6,0.2665346171897636,0.4023809523809524,0.2680731051790399,0.6119798117957056,0.17880561980996915,0.24795797267423292,0.004488993901753659,plain,False,flat,,
logistic_l1,10,C=0.1,0.9631696428571429,0.0035331986849137134,0.9799859009962397,0.0036842043082629477,0.9086309523809524,0.007438822567566417,0.9458333333333334,0.006588078458684106,0.8714285714285713,0.016647759494764332,0.9448495950304856,0.0036168718733083634,0.08122771856422976,0.0021709301296266807,plain,False,flat,,
logistic_l1,10,C=1.0,0.9572172619047619,0.003885142241239825,0.9753247084085942,0.0032739112930489376,0.9214285714285714,0.013016462796355216,0.9333333333333333,0.00537914353639916,0.9095238095238095,0.02459037045211061,0.9461641212061878,0.006282644427572272,0.06445953547178711,0.003909763293403972,plain,False,flat,,
logistic_l1,10,C=10.0,0.9520585317460318,0.0038900648181160167,0.9721277610526775,0.004643428386798793,0.9008928571428572,0.016640368045882994,0.9208333333333334,0.005379143536399228,0.880952380952381,0.03367175148507368,0.9335135047328995,0.007126597738722259,0.07312831849059402,0.0031346144739831053,plain,False,flat,,
