model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
ridge,0,alpha=1.0,0.1674339383871512,0.0010498807686061854,0.20461824978364457,0.001051601659286207,0.5287717364612946,0.004847916294118259,0.05434782608695652,0.008539936970852023,plain,False,flat,,
ridge,0,alpha=10.0,0.1691752494628848,0.0007971112314005363,0.2049064355132228,0.0009981894281092252,0.5274445801275233,0.004607687881174217,0.0463768115942029,0.005066709411450009,plain,False,flat,,
ridge,0,alpha=100.0,0.19789559939166784,0.0007050397686094023,0.22891625224042747,0.000788244952550891,0.41021983221282693,0.004061254924187573,0.007246376811594203,0.0,plain,False,flat,,
ridge,1,alpha=0.01,0.16499547537965312,0.0012001569257102738,0.2014683408493252,0.0016015095216655624,0.5431531931705111,0.007266308352162115,0.06086956521739131,0.005066709411450006,plain,False,flat,,
ridge,1,alpha=0.1,0.16498515011286974,0.0011912724347869323,0.2014390119983623,0.001589245840386153,0.5432865836736662,0.007209325801145769,0.06086956521739131,0.005066709411450006,plain,False,flat,,
ridge,1,alpha=1.0,0.16490258132438698,0.001116209034046589,0.20118121020518798,0.0014825309920464638,0.5444580948984414,0.006714299001280718,0.06086956521739131,0.005066709411450006,plain,False,flat,,
ridge,1,alpha=10.0,0.165207118886479,0.0007841351739806721,0.200283863151075,0.0010352410714693124,0.5485240318304829,0.004662609867948649,0.051449275362318844,0.00634489156355734,plain,False,flat,,
ridge,1,alpha=100.0,0.1843144101942248,0.0006131526389578795,0.2157727391798821,0.0006409631537210066,0.47600291045505455,0.003113365733741365,0.007246376811594203,0.0,plain,False,flat,,
ridge,2,alpha=0.01,0.14845806959251348,0.005768672692635902,0.18322464380338183,0.0065394163868195635,0.6217336950239051,0.02690825150725583,0.056521739130434775,0.0066589607498020375,plain,False,flat,,
ridge,2,alpha=0.1,0.14844873838645598,0.005745065228727356,0.18317463989458704,0.006507328518522724,0.6219441365688921,0.026768979364284545,0.05579710144927537,0.00767644859037232,plain,False,flat,,
ridge,2,alpha=1.0,0.14844380326600723,0.005488224515279445,0.18282268084411468,0.006231541661757724,0.6234295032947688,0.025585842088248604,0.05507246376811594,0.007789621012848839,plain,False,flat,,
ridge,2,alpha=10.0,0.14983317405615207,0.004236401529517315,0.18307538087627268,0.004820171902859226,0.6225468657638557,0.019849315766093042,0.05434782608695652,0.0038191759180777516,plain,False,flat,,
ridge,2,alpha=100.0,0.16716825753708814,0.002915150425805732,0.19749365585218343,0.0033801403051449902,0.560910496593638,0.015081014644393218,0.007971014492753625,0.0022915055508466514,plain,False,flat,,
ridge,3,alpha=0.01,0.13316480336090647,0.0028300513851400883,0.16987545238401394,0.003383949924884426,0.6751008303090633,0.013054931122867786,0.05,0.007206006710230096,plain,False,flat,,
ridge,3,alpha=0.1,0.1332700069629815,0.002820934990788427,0.16985787644614825,0.003362041017459479,0.6751695304192133,0.012967432093106699,0.050724637681159424,0.007638351836155506,plain,False,flat,,
ridge,3,alpha=1.0,0.13410589789308,0.002734916439297196,0.16983841029245197,0.003188072017979814,0.6752554951245855,0.012285795170941556,0.04927536231884058,0.004583011101693305,plain,False,flat,,
ridge,3,alpha=10.0,0.13762726252516458,0.0024547105346439855,0.17088195291717428,0.0025130360348663257,0.6712928134069994,0.00973925661700687,0.051449275362318844,0.0022915055508466505,plain,False,flat,,
ridge,3,alpha=100.0,0.15779207553092425,0.0016961308521996148,0.18545805696514223,0.0014897011811336692,0.6128770617464636,0.006214707511890143,0.007246376811594203,0.0,plain,False,flat,,
ridge,4,alpha=0.01,0.13200985816138927,0.00291038833953946,0.1657011635958526,0.003923555840150664,0.6908263422768279,0.014675282963943282,0.050724637681159424,0.0068319495766816195,plain,False,flat,,
ridge,4,alpha=0.1,0.13213906699004094,0.002872156501855751,0.16567197158495936,0.003889982244567635,0.6909378707973762,0.014549593982164792,0.05144927536231884,0.007206006710230096,plain,False,flat,,
ridge,4,alpha=1.0,0.13308133130120248,0.002634405695253871,0.1658898813386645,0.003665889924395289,0.6901418663626517,0.013739894108456347,0.05217391304347826,0.006658960749802038,plain,False,flat,,
ridge,4,alpha=10.0,0.13713457905696047,0.002657563442700184,0.16893413675965557,0.003138717022559181,0.6787064440775368,0.011981434364687947,0.052898550724637686,0.0048909315776127,plain,False,flat,,
ridge,4,alpha=100.0,0.15418323470380255,0.0016356668527065694,0.1820758456170519,0.0017794056575084487,0.6268578780774182,0.007295321783890712,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
ridge,5,alpha=0.01,0.13033279557015484,0.0025259836849545235,0.16437042804022342,0.0033859418111822992,0.6958096200465498,0.01252162519925194,0.052898550724637686,0.009070040268366468,plain,False,flat,,
ridge,5,alpha=0.1,0.1304261824215424,0.0024846239583220615,0.16432735074111182,0.0033519990625767394,0.6959712959713922,0.012395443174191487,0.053623188405797106,0.009166022203386606,plain,False,flat,,
ridge,5,alpha=1.0,0.13181192560930857,0.002488744207334014,0.16463263706368952,0.0031783344782046964,0.6948525120617742,0.011788253052125117,0.05507246376811594,0.007000665094777505,plain,False,flat,,
ridge,5,alpha=10.0,0.1370357253478792,0.0026501015283858964,0.16852940432118252,0.0030333651957681887,0.6802502190630136,0.011527881877437285,0.05434782608695652,0.0061582361275275155,plain,False,flat,,
ridge,5,alpha=100.0,0.15450035536567802,0.0016425126569579202,0.18232455574210102,0.0018274263499172873,0.6258361133019943,0.007487596260381217,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
ridge,6,alpha=0.01,0.13012296172146035,0.0022788275228969807,0.1645471327768772,0.002827359781564526,0.695190639597483,0.010443792847751347,0.05217391304347826,0.010133418822900015,plain,False,flat,,
ridge,6,alpha=0.1,0.13013510045513693,0.002309503482272558,0.16443625445319673,0.0028319447195240726,0.6956009143282056,0.0104538274993379,0.052898550724637686,0.00969198195542941,plain,False,flat,,
ridge,6,alpha=1.0,0.13069144954847367,0.002484508558309401,0.16416804803905746,0.0028470682330038054,0.6965919598763316,0.010494129231010361,0.050724637681159424,0.00683194957668162,plain,False,flat,,
ridge,6,alpha=10.0,0.13575642956590578,0.0023797128525292637,0.16733540084608006,0.0028533634934313455,0.6847743369888578,0.010750022047435038,0.05434782608695652,0.0061582361275275155,plain,False,flat,,
ridge,6,alpha=100.0,0.15493058731549708,0.0016039529570424694,0.18279169529923872,0.001704491115331114,0.6239209142719484,0.007008983934485004,0.013768115942028985,0.004113378349257585,plain,False,flat,,
ridge,7,alpha=0.01,0.13100074898370387,0.002450279389199678,0.16609838188475295,0.0031488853560947077,0.689398509851407,0.011704945980609767,0.050724637681159424,0.011329506666240167,plain,False,flat,,
ridge,7,alpha=0.1,0.13091089385789628,0.0024837301761112362,0.16586469377343926,0.003132678791699063,0.6902726303462048,0.01162476661282336,0.050724637681159424,0.011329506666240167,plain,False,flat,,
ridge,7,alpha=1.0,0.13079327769488014,0.002669119568587405,0.16504907797680932,0.0030518795606905053,0.6933153071021678,0.01126994443073734,0.050724637681159424,0.014084424866776087,plain,False,flat,,
ridge,7,alpha=10.0,0.1337134090830568,0.0022277414235181707,0.16588611640849368,0.002781841033903613,0.6902136622067924,0.010382331993601834,0.04710144927536232,0.00615823612752752,plain,False,flat,,
ridge,7,alpha=100.0,0.15405754726510393,0.0015013913596701436,0.18155644847362237,0.001694041318716172,0.628986543810548,0.006909998016671609,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
ridge,8,alpha=0.01,0.13070788637643907,0.0029100048668750517,0.1667427972689441,0.0034088468969870854,0.6869672533573343,0.012723282888452042,0.04855072463768116,0.010276351394291134,plain,False,flat,,
ridge,8,alpha=0.1,0.13057734494409443,0.002897402836778292,0.16648085634607082,0.0033887264551144543,0.6879510004946996,0.012630837591006765,0.04855072463768116,0.010829232739835697,plain,False,flat,,
ridge,8,alpha=1.0,0.13034013009274364,0.003062405316140074,0.16545120807807073,0.003334037071943635,0.6918012657237382,0.012362385132504818,0.04855072463768116,0.012804210899225671,plain,False,flat,,
ridge,8,alpha=10.0,0.13296609423614397,0.0025383585920108554,0.16572077509052432,0.003086724702791029,0.6908126127130689,0.011515080759265517,0.04492753623188406,0.0045830111016933045,plain,False,flat,,
