model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,2,C=0.01,0.4992063492063492,0.009518267742078257,0.6960298773143375,0.005236910152205651,0.49888392857142855,0.009235053453328814,0.540625,0.19122142831037983,0.45714285714285713,0.1969149821727175,0.5897490393219128,0.13281349860607855,0.24943417166234966,0.005478634417207038,plain,False,flat,,
logistic_l1,2,C=0.1,0.9570188492063492,0.007682756223649828,0.976436432505736,0.006994066440971947,0.90625,0.008366630849917176,0.9458333333333334,0.011825962754115564,0.8666666666666666,0.012295185226055317,0.9438400166903511,0.006629777034943211,0.08466036552219562,0.0037700008352825284,plain,False,flat,,
logistic_l1,2,C=1.0,0.9513144841269842,0.011235511413193754,0.9703342351618399,0.011620559902341744,0.911235119047619,0.010753997997528146,0.934375,0.013932224060929822,0.8880952380952382,0.0196017286273468,0.9421951636518274,0.0076990482376653475,0.06721350574804748,0.005857558963564,plain,False,flat,,
logistic_l1,2,C=10.0,0.948983134920635,0.01298189304045949,0.968554476759309,0.01419010705916506,0.9145833333333334,0.014345526243565852,0.9291666666666666,0.014566789557918779,0.9,0.021879442463635268,0.9418905502039628,0.009884284806845297,0.06844880666190772,0.006599181638153297,plain,False,flat,,
logistic_l1,2,C=100.0,0.9493799603174603,0.014039855118475454,0.9693658364613832,0.01457918932874366,0.9125,0.010845981119169885,0.925,0.011825962754115564,0.9,0.018781205660633724,0.9396626550936482,0.00733410346999032,0.06946087108270088,0.007051761684238945,plain,False,flat,,
logistic_l1,3,C=0.01,0.49124503968253974,0.008882562294187617,0.6909129522417263,0.004458920047979127,0.4953125,0.008719795097727917,0.4572916666666666,0.1907163690155982,0.5333333333333333,0.18517762645193503,0.5294955673743958,0.14412770173858672,0.24991999022934075,0.0035319028498130415,plain,False,flat,,
logistic_l1,3,C=0.1,0.965500992063492,0.0035470990885940043,0.9826596106534586,0.0022994003690630666,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07972297416575067,0.002055770325274134,plain,False,flat,,
logistic_l1,3,C=1.0,0.959920634920635,0.004489018788392368,0.9779963238365703,0.0036078395624249827,0.9163690476190476,0.01003897669894722,0.9375,0.0,0.8952380952380953,0.020077953397894505,0.9453948188534163,0.0041815236468803,0.06416872967407264,0.002174256013732417,plain,False,flat,,
logistic_l1,3,C=10.0,0.953125,0.007321020801365879,0.9732233413668656,0.006135619175731457,0.9177827380952381,0.015485607444805599,0.9260416666666667,0.010358634645955775,0.9095238095238095,0.02703077200940702,0.9422413249386377,0.008801298889637273,0.06802923009602285,0.00370868819332865,plain,False,flat,,
logistic_l1,3,C=100.0,0.9532490079365079,0.007737892088524005,0.9734497193267264,0.006410534871833666,0.9162202380952381,0.015947247061436604,0.9229166666666666,0.00878410461157885,0.9095238095238095,0.02703077200940702,0.9405648769399511,0.008874156833536576,0.0698267449732379,0.004064950725375093,plain,False,flat,,
logistic_l1,4,C=0.01,0.4966021825396825,0.009216384637998808,0.6934793209687994,0.0049120228450308156,0.5010416666666667,0.006839124829454013,0.5020833333333333,0.2710024400828602,0.5,0.2679673494624465,0.5373968391945254,0.23411600703417726,0.2515886585100445,0.0071735009141571686,plain,False,flat,,
logistic_l1,4,C=0.1,0.965625,0.0034150623964401554,0.9828051708504552,0.0022622511922962565,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07974384587710857,0.002101801407767872,plain,False,flat,,
logistic_l1,4,C=1.0,0.9578621031746032,0.005112911369617856,0.9772718759630648,0.0041792537211888465,0.9232886904761906,0.011319146647585852,0.9322916666666666,0.007365695637359856,0.9142857142857143,0.02007795339789451,0.9465929843381922,0.006278262841066451,0.0663228558070866,0.003141553852852762,plain,False,flat,,
logistic_l1,4,C=10.0,0.949280753968254,0.010423389795188672,0.9702548278406713,0.01104702150013473,0.9216517857142857,0.014329437677568835,0.921875,0.010123180372995318,0.9214285714285714,0.02522261679693762,0.9424939494063038,0.00821885494386671,0.0714720982761051,0.004644265900366265,plain,False,flat,,
logistic_l1,4,C=100.0,0.9482390873015873,0.011369152701882225,0.9695702044355041,0.012226764590940695,0.919047619047619,0.015630116949994232,0.9166666666666666,0.010980130764473543,0.9214285714285714,0.02522261679693762,0.9396671419966667,0.009443339432621302,0.07386423241515155,0.004700935357770641,plain,False,flat,,
logistic_l1,5,C=0.01,0.49950396825396826,0.008234060580680389,0.6954483212940514,0.005135524663553136,0.5008928571428571,0.007438822567566451,0.4208333333333333,0.1740411340977319,0.5809523809523809,0.17395261197203155,0.5045252737348348,0.14488309698487592,0.25141508361036563,0.0048948979440871605,plain,False,flat,,
logistic_l1,5,C=0.1,0.965625,0.0034150623964401554,0.9828051708504552,0.0022622511922962565,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07974432160603448,0.0021017142350026373,plain,False,flat,,
logistic_l1,5,C=1.0,0.9563988095238095,0.004605651719765654,0.9758807791049051,0.0038515762697325195,0.9195684523809524,0.015382783404637768,0.934375,0.005031728036871308,0.9047619047619048,0.027492869961410777,0.9457299397541419,0.007638284768113596,0.06706576748583043,0.003299069150865534,plain,False,flat,,
logistic_l1,5,C=10.0,0.946577380952381,0.00961997556473953,0.9687196970412508,0.010040532107703264,0.9105654761904761,0.01325342617226217,0.91875,0.00957225607784045,0.9023809523809524,0.020847500851688426,0.93679943306516,0.008113406101884262,0.07615547417146132,0.005961285735679176,plain,False,flat,,
logistic_l1,5,C=100.0,0.9444940476190476,0.011775342788633162,0.9670529285255048,0.013956928950658061,0.9057291666666666,0.016648683195140363,0.9114583333333334,0.010123180372995297,0.9,0.027030772009406987,0.9323458684883089,0.009702573505444036,0.07938187214596434,0.006345330063023735,plain,False,flat,,
logistic_l1,6,C=0.01,0.5015625,0.008391142615827898,0.6965526347326124,0.004953991554564804,0.5033482142857143,0.007417706561874128,0.4614583333333333,0.267521146187376,0.5452380952380953,0.2666595804047129,0.519384077561739,0.1789450792997634,0.25139324820884557,0.003957575692841312,plain,False,flat,,
logistic_l1,6,C=0.1,0.965625,0.0034150623964401554,0.9828051708504552,0.0022622511922962565,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.0797439169588556,0.0021024345449398222,plain,False,flat,,
logistic_l1,6,C=1.0,0.9582093253968254,0.004707585475366384,0.9771699037802483,0.0030262225654100407,0.9120535714285714,0.012128965170505341,0.93125,0.0072833947789593834,0.8928571428571429,0.023138697995417887,0.941557392437395,0.00617639792837817,0.0668889794692041,0.0031095238661399817,plain,False,flat,,
logistic_l1,6,C=10.0,0.9542162698412697,0.007156928135406759,0.9746543355792214,0.00709813874858577,0.8998511904761906,0.01413995024283116,0.91875,0.008216777476527291,0.8809523809523808,0.031746031746031744,0.9323701516212821,0.005685207838090529,0.0769628261582187,0.005198145528172065,plain,False,flat,,
logistic_l1,6,C=100.0,0.9527777777777778,0.008441612506832907,0.9734770737567464,0.009345491009209703,0.8932291666666666,0.018784644287313006,0.9197916666666666,0.011034894848660232,0.8666666666666666,0.037562411321267405,0.9299902429937201,0.009044962046212131,0.0805242235924579,0.0064705354633226506,plain,False,flat,,
