scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,lasso,0,36,3,alpha=0.01
loco,False,ridge,0,37,4,alpha=0.01
loco,False,lasso,0,37,3,alpha=0.01
loco,False,ridge,0,38,4,alpha=0.1
loco,False,lasso,0,38,3,alpha=0.01
loco,False,ridge,0,39,6,alpha=1.0
loco,False,lasso,0,39,3,alpha=0.01
loco,False,ridge,0,40,4,alpha=0.01
loco,False,lasso,0,40,3,alpha=0.01
loco,False,ridge,0,41,6,alpha=1.0
loco,False,lasso,0,41,3,alpha=0.01
loco,False,ridge,0,42,6,alpha=1.0
loco,False,lasso,0,42,3,alpha=0.01
loco,False,ridge,0,43,4,alpha=0.1
loco,False,lasso,0,43,3,alpha=0.01
loco,False,ridge,0,44,4,alpha=0.1
loco,False,lasso,0,44,3,alpha=0.01
loco,False,ridge,0,45,4,alpha=0.1
loco,False,lasso,0,45,5,alpha=0.01
loco,False,ridge,0,46,4,alpha=0.01
loco,False,lasso,0,46,5,alpha=0.001
loco,False,ridge,0,47,4,alpha=0.1
loco,False,lasso,0,47,4,alpha=0.01
loco,False,ridge,0,48,6,alpha=1.0
loco,False,lasso,0,48,5,alpha=0.001
loco,False,ridge,0,49,6,alpha=1.0
loco,False,lasso,0,49,3,alpha=0.01
loco,False,ridge,0,50,6,alpha=1.0
loco,False,lasso,0,50,3,alpha=0.01
loco,False,ridge,0,51,6,alpha=1.0
loco,False,lasso,0,51,3,alpha=0.01
loco,False,ridge,0,52,6,alpha=1.0
loco,False,lasso,0,52,3,alpha=0.01
loco,False,ridge,0,53,6,alpha=1.0
loco,False,lasso,0,53,3,alpha=0.01
loco,False,ridge,0,54,6,alpha=1.0
loco,False,lasso,0,54,3,alpha=0.01
loco,False,ridge,0,55,4,alpha=0.01
loco,False,lasso,0,55,3,alpha=0.01
loco,False,ridge,0,56,6,alpha=1.0
loco,False,lasso,0,56,3,alpha=0.01
loco,False,ridge,0,57,6,alpha=1.0
loco,False,lasso,0,57,3,alpha=0.01
loco,False,ridge,0,58,6,alpha=1.0
loco,False,lasso,0,58,3,alpha=0.01
loco,False,ridge,0,59,4,alpha=0.01
loco,False,lasso,0,59,5,alpha=0.001
loco,False,ridge,0,60,6,alpha=1.0
loco,False,lasso,0,60,3,alpha=0.01
loco,False,ridge,0,61,6,alpha=1.0
loco,False,lasso,0,61,3,alpha=0.01
loco,False,ridge,0,62,6,alpha=1.0
loco,False,lasso,0,62,3,alpha=0.01
loco,False,ridge,0,63,6,alpha=1.0
loco,False,lasso,0,63,3,alpha=0.01
loco,False,ridge,0,64,4,alpha=0.1
loco,False,lasso,0,64,3,alpha=0.01
loco,False,ridge,0,65,6,alpha=1.0
loco,False,lasso,0,65,3,alpha=0.01
loco,False,ridge,0,66,6,alpha=1.0
loco,False,lasso,0,66,3,alpha=0.01
loco,False,ridge,0,67,6,alpha=1.0
loco,False,lasso,0,67,6,alpha=0.001
loco,False,ridge,0,68,6,alpha=1.0
loco,False,lasso,0,68,6,alpha=0.001
loco,False,ridge,0,69,6,alpha=1.0
loco,False,lasso,0,69,6,alpha=0.001
loco,False,ridge,0,70,4,alpha=0.1
loco,False,lasso,0,70,4,alpha=0.01
loco,False,ridge,0,71,10,alpha=10.0
loco,False,lasso,0,71,3,alpha=0.01
loco,False,ridge,0,72,4,alpha=0.1
loco,False,lasso,0,72,3,alpha=0.01
loco,False,ridge,0,73,6,alpha=1.0
loco,False,lasso,0,73,3,alpha=0.01
loco,False,ridge,0,74,10,alpha=10.0
loco,False,lasso,0,74,3,alpha=0.01
loco,False,ridge,0,75,10,alpha=10.0
loco,False,lasso,0,75,3,alpha=0.01
loco,False,ridge,0,76,10,alpha=10.0
loco,False,lasso,0,76,3,alpha=0.01
loco,False,ridge,0,77,10,alpha=10.0
loco,False,lasso,0,77,3,alpha=0.01
loco,False,ridge,0,78,6,alpha=1.0
loco,False,lasso,0,78,3,alpha=0.01
loco,False,ridge,0,79,4,alpha=1.0
loco,False,lasso,0,79,3,alpha=0.01
loco,False,ridge,0,80,6,alpha=1.0
loco,False,lasso,0,80,3,alpha=0.01
loco,False,ridge,0,81,4,alpha=0.1
loco,False,lasso,0,81,4,alpha=0.01
loco,False,ridge,0,82,4,alpha=0.1
loco,False,lasso,0,82,3,alpha=0.01
loco,False,ridge,0,83,6,alpha=1.0
loco,False,lasso,0,83,3,alpha=0.01
loco,False,ridge,0,84,4,alpha=0.01
loco,False,lasso,0,84,7,alpha=0.01
loco,False,ridge,0,85,6,alpha=1.0
loco,False,lasso,0,85,3,alpha=0.01
loco,False,ridge,0,86,4,alpha=0.1
loco,False,lasso,0,86,2,alpha=0.01
loco,False,ridge,0,87,4,alpha=0.1
loco,False,lasso,0,87,3,alpha=0.01
loco,False,ridge,0,88,6,alpha=1.0
loco,False,lasso,0,88,3,alpha=0.01
