cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0514i-uenn_3,2.0,0.32014339655999796,0.010767860503555977
HPSI0514i-wiii_3,2.0,0.02934710234745464,0.002081124189062748
HPSI0514i-yewo_4,1.0,0.8546475358702433,0.008803147132661088
HPSI0613i-aevs_1,1.0,0.10510948905109489,0.004783932057169986
HPSI0613i-bawa_1,1.0,0.8708721422523286,0.00689997036713834
HPSI0613i-bohf_1,1.0,0.49926289926289924,0.011083765419009824
HPSI0613i-eojr_2,1.0,0.8117647058823529,0.0423990521767104
HPSI0613i-hegp_3,1.0,0.6831275720164609,0.02110449664250854
HPSI0613i-hikj_2,1.0,0.921875,0.008661546025813848
HPSI0613i-lizq_3,1.0,0.5408163265306123,0.020550834081445604
HPSI0614i-juzt_4,1.0,0.09897109260166585,0.006610008870008167
HPSI0614i-liqa_1,1.0,0.5552367288378766,0.008417868945643144
HPSI0614i-lirf_5,1.0,0.06041923551171394,0.008366508264057652
HPSI0614i-miaj_4,1.0,0.04536222071767095,0.005414722629759756
HPSI0614i-oicx_2,1.0,0.36428571428571427,0.04067129846649154
HPSI0614i-puhk_2,1.0,0.043523859465128475,0.004672243016994326
HPSI0614i-qunz_2,1.0,0.4619883040935672,0.022011653433795166
HPSI0614i-uevq_6,1.0,0.05466237942122187,0.0017541255017489953
HPSI0614i-voce_1,1.0,0.134,0.010772372069326236
HPSI0614i-wihj_4,1.0,0.7233082706766917,0.008673991377030042
HPSI0714i-burb_1,2.0,0.10720504780447965,0.0052967025014301825
HPSI0714i-iudw_1,1.0,0.32066115702479336,0.010955396154578545
HPSI0714i-keui_4,1.0,0.06964129483814523,0.0033670573534756365
HPSI0714i-kute_5,1.0,0.17777777777777778,0.04030065335921613
HPSI0714i-oatm_1,1.0,0.08536585365853659,0.009303846371443436
HPSI0714i-pipw_4,1.0,0.669449081803005,0.0064068313666765945
HPSI0715i-aowh_2,1.0,0.6208232952760029,0.004965595799956317
HPSI0715i-meue_5,2.0,0.7318868327894417,0.007251436427107761
HPSI0715i-zaie_5,1.0,0.6213753106876554,0.013961363242604318
HPSI0814i-bokz_6,1.0,0.8467741935483871,0.01617368299275501
HPSI0814i-siqu_4,1.0,0.7855530474040632,0.013788938590306289
HPSI0913i-eika_2,1.0,0.5384615384615384,0.09776752450803732
HPSI0914i-iezw_2,1.0,0.18508655126498003,0.010020934140213043
HPSI0914i-jejf_2,1.0,0.8451612903225807,0.007502363316906261
HPSI0914i-kajh_2,1.0,0.7244094488188977,0.03964809765777298
HPSI0914i-laey_6,2.0,0.5226957566793011,0.026555256507067398
HPSI0914i-ouvb_2,2.0,0.616700658776667,0.014122877251459134
HPSI0914i-rejf_2,1.0,0.03608247422680412,0.005988005991402162
HPSI0914i-suop_5,1.0,0.8554033485540334,0.013720878104045988
HPSI0914i-vaka_5,1.0,0.46688642493257415,0.008636492311377765
HPSI0914i-yuvg_2,1.0,0.6235955056179775,0.025677568085467332
HPSI0914i-zerv_7,2.0,0.4927947779810411,0.014007488517912092
HPSI1013i-garx_2,1.0,0.17393180837289599,0.005568259174166801
HPSI1013i-hiaf_1,2.0,0.4662173556987497,0.008709248283801234
HPSI1013i-jogf_2,1.0,0.030952380952380953,0.008450743988909756
HPSI1013i-sita_1,1.0,0.029717682020802376,0.0037790998320264596
HPSI1013i-woci_1,1.0,0.6965669988925803,0.015299209041084297
HPSI1013i-wopl_2,1.0,0.0350076103500761,0.007170682486178356
HPSI1013i-zagm_1,1.0,0.7777777777777778,0.08000914442478839
HPSI1014i-babz_3,1.0,0.7246285833856455,0.006461727579818691
HPSI1014i-bilx_1,1.0,0.038461538461538464,0.014254794551175023
HPSI1014i-eesb_1,1.0,0.540819943289225,0.00383014338628656
HPSI1014i-kefb_1,1.0,0.05555555555555555,0.011781648338525033
HPSI1014i-nosn_1,1.0,0.371900826446281,0.04393746511559262
