gene,gene_index,mean,var
AC010745.4,3379,1.593008856704226e-05,2.7971855942305444e-05
VSNL1,3386,0.07157076294653314,0.11176797312032345
LAPTM4A,3407,3.8112753715525627,6.531614518313662
RHOB,3412,0.23348947752232702,0.3787525141567352
AC009411.1,3428,7.198037588899183e-06,1.2622480888919055e-05
TP53I3,3448,0.44570380965159284,0.6547646369465443
POMC,3465,0.005746549428751443,0.011680520317636906
DRC1,3481,0.027224336821133472,0.04751238386564849
CENPA,3488,0.3196717234306439,0.8091792430398367
PPP1CB,3545,1.0182107142105836,1.8075734597963233
LBH,3559,0.09269289673812099,0.16115046094503094
AC020594.5,3587,0.00022319469167394833,0.00033084620914874843
RP11-529E15.1,3593,3.114110042938439e-05,6.227349814256382e-05
CYP1B1,3621,0.02595926305936436,0.14138523313869691
SRSF7,3633,1.8265797397515835,3.292025014332609
ZFP36L2,3667,1.3671294008185804,2.670472020420561
SIX3,3681,0.25499986066458213,0.3715621454835377
CALM2,3713,12.423893872397105,80.9330912063067
BCYRN1,3716,0.04480914336228357,0.0675735228109
EPCAM,3717,0.3526603135755604,0.5442237488553806
AC087073.1,3738,9.725764775780867e-06,1.644975386524896e-05
EML6,3756,0.005969439388886803,0.024219995698361904
RTN4,3758,2.855823558261638,5.083253691563831
EFEMP1,3769,0.5561730576674822,1.0163448739434051
AC011306.2,3771,0.0042989740096785285,0.006372711526543256
AC010733.4,3789,0.0002123130638931555,0.00031331075129614305
AC092155.4,3808,1.0917048582818904e-05,2.9035345875656657e-05
AC007403.3,3855,6.0699930859371095e-06,8.976207407061813e-06
AC010987.6,3863,1.546820009511168e-05,2.2570341750872727e-05
SNRPG,3902,3.107132389234596,4.704122676626044
EGR4,3939,0.003476914215450378,0.016668315953142995
ACTG2,3947,0.07423911116958887,0.20384255605227836
MTHFD2,3958,1.2497006613445776,2.4946335005772022
AC005041.17,3973,9.781180118509698e-06,1.4363608016093952e-05
GCFC2,3997,0.38177341093167005,0.6525054655448468
REG1B,4009,0.00020003611925221052,0.00036644923841376185
REG3A,4011,1.159872360106732e-05,2.111215859044665e-05
AC084193.1,4017,7.065587824656133e-06,1.2162226673384139e-05
TRABD2A,4025,0.034806856218098765,0.07375001867145933
TMSB10,4027,17.52985048876748,103.3585986234537
VAMP8,4039,0.1064300847141703,0.19200133695059657
CH17-132F21.1,4082,2.7169474375261508e-05,4.524418963157927e-05
RP11-440D17.4,4097,1.8878053418145224e-05,3.046102740600056e-05
TRIM43,4098,0.014242826070814608,0.9815434014378036
ASTL,4104,2.3585633757554572e-05,4.28036801939902e-05
CNGA3,4137,0.00045350747604765645,0.0006848815838100691
LINC01104,4159,1.723199265249713e-05,3.266438704897569e-05
LINC01158,4210,0.012033876409742926,0.018567893601895608
AC009505.2,4229,3.659278000849427e-05,5.855893718510359e-05
AC009505.4,4230,6.763838194222435e-06,1.1145586106551543e-05
BUB1,4278,0.22730804269365473,0.42413547745954244
CKAP2L,4305,0.18493596375085686,0.3054065371536739
IL36RN,4312,6.690112374493314e-05,0.0001041058833121346
AC009303.1,4346,1.3758814394615197e-05,2.3762617456648115e-05
EN1,4352,0.009041792539332552,0.015606617331466803
CFC1B,4437,1.2438361949874227e-05,2.0298613040903368e-05
CFC1,4442,0.00028693612310044293,0.0004169166997355718
LYPD1,4469,0.5870227128596233,1.412384886697669
NCKAP5,4471,0.016808935295141277,0.02431298893858337
TMEM163,4477,0.006985392169469572,0.012748709652214411
MAP3K19,4481,0.00016891266879297978,0.0002596057066167556
CXCR4,4492,1.2979590544034738,2.2218208544937754
KIF5C,4538,0.42338735448187365,0.620692724757748
