cell_line,donor,pool,n_cells_D11,n_cells_D30,n_cells_D52
HPSI0214i-pelm_3,HPSI0214i,pool2,2826.0,3765.0,6829.0
HPSI0214i-pelm_3,HPSI0214i,pool3,2097.0,1320.0,5729.0
HPSI0214i-poih_2,HPSI0214i,pool5,6370.0,3459.0,3564.0
HPSI0214i-rayr_1,HPSI0214i,pool2,704.0,509.0,458.0
HPSI0215i-deyz_2,HPSI0215i,pool4,1537.0,6238.0,11467.0
HPSI0215i-fawm_2,HPSI0215i,pool4,1333.0,956.0,1579.0
HPSI0215i-hipn_1,HPSI0215i,pool6,1851.0,519.0,712.0
HPSI0215i-hipn_1,HPSI0215i,pool7,259.0,1181.0,1023.0
HPSI0215i-oilg_1,HPSI0215i,pool9,2193.0,1539.0,997.0
HPSI0215i-romx_1,HPSI0215i,pool8,2503.0,1421.0,2980.0
HPSI0215i-uiao_2,HPSI0215i,pool7,162.0,1882.0,3837.0
HPSI0215i-yoch_6,HPSI0215i,pool6,2402.0,1325.0,1242.0
HPSI0215i-zett_5,HPSI0215i,pool8,2808.0,3790.0,10820.0
HPSI0215i-zett_5,HPSI0215i,pool9,2502.0,3469.0,4017.0
HPSI0314i-bubh_3,HPSI0314i,pool9,2167.0,1963.0,885.0
HPSI0314i-cuhk_2,HPSI0314i,pool4,1063.0,1553.0,4652.0
HPSI0314i-hoik_1,HPSI0314i,pool9,1008.0,4065.0,1429.0
HPSI0314i-qaqx_1,HPSI0314i,pool11,190.0,35.0,242.0
HPSI0314i-qaqx_1,HPSI0314i,pool6,657.0,215.0,209.0
HPSI0314i-sojd_3,HPSI0314i,pool3,1152.0,713.0,3926.0
HPSI0314i-sojd_3,HPSI0314i,pool4,565.0,606.0,921.0
HPSI0314i-uict_1,HPSI0314i,pool6,670.0,179.0,157.0
HPSI0314i-xagu_1,HPSI0314i,pool6,318.0,74.0,54.0
HPSI0314i-xugn_2,HPSI0314i,pool8,1829.0,1769.0,1884.0
HPSI0414i-ceik_1,HPSI0414i,pool4,445.0,340.0,444.0
HPSI0414i-gesg_2,HPSI0414i,pool9,1061.0,310.0,247.0
HPSI0414i-mita_1,HPSI0414i,pool6,14640.0,13112.0,15851.0
HPSI0414i-oaqd_2,HPSI0414i,pool8,1381.0,480.0,682.0
HPSI0414i-sebn_3,HPSI0414i,pool3,1287.0,836.0,2290.0
HPSI0414i-uawq_2,HPSI0414i,pool8,1532.0,1853.0,3998.0
HPSI0414i-xojn_3,HPSI0414i,pool7,143.0,539.0,398.0
HPSI0414i-xojn_3,HPSI0414i,pool8,2177.0,1048.0,1488.0
HPSI0513i-dipe_1,HPSI0513i,pool11,377.0,80.0,957.0
HPSI0513i-fejf_2,HPSI0513i,pool11,498.0,97.0,954.0
HPSI0513i-giuf_1,HPSI0513i,pool11,261.0,34.0,180.0
HPSI0513i-momt_2,HPSI0513i,pool11,1218.0,320.0,3417.0
HPSI0513i-oibg_1,HPSI0513i,pool11,360.0,83.0,2267.0
HPSI0513i-sucd_3,HPSI0513i,pool11,592.0,124.0,1132.0
HPSI0513i-uoxz_4,HPSI0513i,pool11,942.0,148.0,1278.0
HPSI0513i-veve_2,HPSI0513i,pool11,1079.0,240.0,1236.0
HPSI0514i-fiaj_1,HPSI0514i,pool4,2125.0,2488.0,9736.0
HPSI0514i-fiaj_1,HPSI0514i,pool5,8321.0,10811.0,26492.0
HPSI0514i-lako_1,HPSI0514i,pool2,1337.0,2021.0,5120.0
HPSI0514i-lako_1,HPSI0514i,pool4,607.0,856.0,2031.0
HPSI0514i-naah_2,HPSI0514i,pool7,94.0,577.0,485.0
HPSI0514i-oekw_2,HPSI0514i,pool8,1103.0,689.0,1190.0
HPSI0514i-oupf_6,HPSI0514i,pool9,1807.0,931.0,383.0
HPSI0514i-qihv_1,HPSI0514i,pool6,1608.0,947.0,868.0
HPSI0514i-rutc_2,HPSI0514i,pool7,251.0,866.0,931.0
HPSI0514i-sohd_2,HPSI0514i,pool7,119.0,812.0,725.0
HPSI0514i-suul_1,HPSI0514i,pool6,910.0,150.0,155.0
HPSI0514i-tert_1,HPSI0514i,pool6,2265.0,1317.0,1434.0
HPSI0514i-uenn_3,HPSI0514i,pool2,594.0,775.0,3288.0
HPSI0514i-uenn_3,HPSI0514i,pool3,276.0,165.0,578.0
HPSI0514i-wiii_3,HPSI0514i,pool7,155.0,3030.0,9430.0
HPSI0514i-wiii_3,HPSI0514i,pool8,874.0,2065.0,2381.0
HPSI0514i-yewo_4,HPSI0514i,pool7,168.0,940.0,1603.0
HPSI0613i-aevs_1,HPSI0613i,pool11,1073.0,433.0,4110.0
HPSI0613i-bawa_1,HPSI0613i,pool11,743.0,180.0,2362.0
HPSI0613i-bohf_1,HPSI0613i,pool11,1031.0,239.0,2035.0
HPSI0613i-eojr_2,HPSI0613i,pool11,125.0,13.0,85.0
HPSI0613i-hegp_3,HPSI0613i,pool11,233.0,65.0,486.0
HPSI0613i-hikj_2,HPSI0613i,pool11,300.0,68.0,960.0
HPSI0613i-lizq_3,HPSI0613i,pool11,581.0,63.0,588.0
HPSI0614i-juzt_4,HPSI0614i,pool7,194.0,967.0,2041.0
HPSI0614i-liqa_1,HPSI0614i,pool1,3190.0,1043.0,3485.0
HPSI0614i-lirf_5,HPSI0614i,pool5,1667.0,681.0,811.0
HPSI0614i-miaj_4,HPSI0614i,pool8,3123.0,1404.0,1477.0
HPSI0614i-oicx_2,HPSI0614i,pool5,128.0,210.0,140.0
HPSI0614i-puhk_2,HPSI0614i,pool9,3128.0,3893.0,1907.0
HPSI0614i-qunz_2,HPSI0614i,pool8,352.0,304.0,513.0
HPSI0614i-uevq_6,HPSI0614i,pool2,1255.0,2213.0,16794.0
HPSI0614i-voce_1,HPSI0614i,pool6,2430.0,925.0,1000.0
HPSI0614i-wihj_4,HPSI0614i,pool7,367.0,3066.0,2660.0
HPSI0714i-burb_1,HPSI0714i,pool4,832.0,544.0,1389.0
HPSI0714i-burb_1,HPSI0714i,pool5,1675.0,1219.0,2842.0
HPSI0714i-iudw_1,HPSI0714i,pool1,2640.0,624.0,1815.0
HPSI0714i-keui_4,HPSI0714i,pool7,364.0,2196.0,5715.0
HPSI0714i-kute_5,HPSI0714i,pool5,60.0,121.0,90.0
HPSI0714i-oatm_1,HPSI0714i,pool6,1300.0,993.0,902.0
HPSI0714i-pipw_4,HPSI0714i,pool3,4143.0,1912.0,5391.0
HPSI0715i-aowh_2,HPSI0715i,pool8,2016.0,3306.0,9547.0
HPSI0715i-meue_5,HPSI0715i,pool2,1248.0,1450.0,2155.0
HPSI0715i-meue_5,HPSI0715i,pool3,942.0,312.0,1476.0
HPSI0715i-zaie_5,HPSI0715i,pool8,1603.0,893.0,1207.0
HPSI0814i-bokz_6,HPSI0814i,pool4,293.0,259.0,496.0
HPSI0814i-siqu_4,HPSI0814i,pool7,349.0,1117.0,886.0
HPSI0913i-eika_2,HPSI0913i,pool9,182.0,85.0,26.0
HPSI0914i-iezw_2,HPSI0914i,pool5,493.0,981.0,1502.0
HPSI0914i-jejf_2,HPSI0914i,pool5,2452.0,1883.0,2325.0
HPSI0914i-kajh_2,HPSI0914i,pool5,472.0,157.0,127.0
HPSI0914i-laey_6,HPSI0914i,pool5,158.0,140.0,116.0
HPSI0914i-laey_6,HPSI0914i,pool6,1149.0,359.0,373.0
HPSI0914i-ouvb_2,HPSI0914i,pool8,1418.0,784.0,967.0
HPSI0914i-ouvb_2,HPSI0914i,pool9,2210.0,952.0,432.0
HPSI0914i-rejf_2,HPSI0914i,pool9,1317.0,1781.0,970.0
HPSI0914i-suop_5,HPSI0914i,pool1,1640.0,345.0,657.0
HPSI0914i-vaka_5,HPSI0914i,pool3,1338.0,1047.0,3337.0
HPSI0914i-yuvg_2,HPSI0914i,pool7,71.0,370.0,356.0
HPSI0914i-zerv_7,HPSI0914i,pool7,175.0,578.0,420.0
HPSI0914i-zerv_7,HPSI0914i,pool8,881.0,476.0,859.0
HPSI1013i-garx_2,HPSI1013i,pool9,1423.0,5369.0,4634.0
HPSI1013i-hiaf_1,HPSI1013i,pool5,980.0,865.0,926.0
HPSI1013i-hiaf_1,HPSI1013i,pool6,4858.0,4659.0,4713.0
HPSI1013i-jogf_2,HPSI1013i,pool9,1262.0,432.0,420.0
HPSI1013i-sita_1,HPSI1013i,pool8,2309.0,1973.0,2019.0
HPSI1013i-woci_1,HPSI1013i,pool6,2019.0,742.0,903.0
HPSI1013i-wopl_2,HPSI1013i,pool9,1512.0,1411.0,657.0
HPSI1013i-zagm_1,HPSI1013i,pool6,330.0,13.0,27.0
HPSI1014i-babz_3,HPSI1014i,pool8,1744.0,1679.0,4779.0
HPSI1014i-bilx_1,HPSI1014i,pool4,179.0,168.0,182.0
HPSI1014i-eesb_1,HPSI1014i,pool4,3057.0,9855.0,16928.0
HPSI1014i-kefb_1,HPSI1014i,pool8,605.0,187.0,378.0
HPSI1014i-nosn_1,HPSI1014i,pool6,775.0,133.0,121.0
HPSI1014i-qayj_4,HPSI1014i,pool5,4959.0,5280.0,11064.0
HPSI1014i-quls_2,HPSI1014i,pool3,2682.0,1429.0,14317.0
HPSI1014i-roug_3,HPSI1014i,pool7,578.0,7169.0,11667.0
HPSI1014i-sehl_6,HPSI1014i,pool6,2881.0,3814.0,5196.0
HPSI1014i-tixi_4,HPSI1014i,pool7,60.0,664.0,724.0
HPSI1014i-tuju_1,HPSI1014i,pool6,3701.0,1151.0,1604.0
HPSI1014i-vils_1,HPSI1014i,pool8,2013.0,1156.0,1780.0
HPSI1113i-hayt_3,HPSI1113i,pool9,4405.0,6053.0,5058.0
HPSI1113i-ieki_3,HPSI1113i,pool9,727.0,276.0,274.0
HPSI1113i-podx_1,HPSI1113i,pool1,1940.0,549.0,3651.0
HPSI1113i-qolg_1,HPSI1113i,pool9,353.0,213.0,174.0
HPSI1113i-vuud_2,HPSI1113i,pool5,1722.0,1753.0,2311.0
HPSI1114i-kuul_1,HPSI1114i,pool6,1641.0,1370.0,1574.0
HPSI1114i-kuul_1,HPSI1114i,pool7,173.0,1511.0,1307.0
HPSI1114i-ualf_6,HPSI1114i,pool6,572.0,298.0,320.0
HPSI1213i-hehd_1,HPSI1213i,pool4,1242.0,1236.0,1711.0
HPSI1213i-hehd_1,HPSI1213i,pool5,589.0,363.0,408.0
