cell_line,dopa_eff_neuron_denom,dopa_share_of_target,authors_diff_eff
HPSI0214i-pelm_3,0.3054366977095394,0.3253200127728073,0.609007771698127
HPSI0214i-poih_2,0.6957671957671958,0.7574884792626728,0.7380952380952381
HPSI0214i-rayr_1,0.748898678414097,0.776255707762557,0.7087378640776699
HPSI0215i-deyz_2,0.3986194995685936,0.41987276582853683,0.5971418234442837
HPSI0215i-fawm_2,0.36258278145695366,0.38488576449912126,0.793584379358438
HPSI0215i-hipn_1,0.4924207886938683,0.5426682692307693,0.41518958792156446
HPSI0215i-oilg_1,0.33636363636363636,0.7115384615384616,0.08293460925039872
HPSI0215i-romx_1,0.38257575757575757,0.6870748299319728,0.07831646244006393
HPSI0215i-uiao_2,0.337851929092805,0.4122137404580153,0.3361847733105218
HPSI0215i-yoch_6,0.29411764705882354,0.5555555555555556,0.03868194842406877
HPSI0215i-zett_5,0.059329570983902055,0.06138044580763202,0.8412690117794052
HPSI0314i-bubh_3,0.16556291390728478,0.6944444444444444,0.06870229007633588
HPSI0314i-cuhk_2,0.44665461121157324,0.6711956521739131,0.16599007668019847
HPSI0314i-hoik_1,0.10487444608567208,0.8765432098765432,0.07917888563049853
HPSI0314i-qaqx_1,0.42547077525067256,0.4824822695035461,0.6225345973629727
HPSI0314i-sojd_3,0.3670471444073791,0.7643557422969187,0.09658307210031347
HPSI0314i-uict_1,0.2807017543859649,0.2909090909090909,0.5729166666666666
HPSI0314i-xagu_1,0.11764705882352941,0.14285714285714285,0.4827586206896552
HPSI0314i-xugn_2,0.21264367816091953,0.6981132075471698,0.041053446940356314
HPSI0414i-ceik_1,0.36666666666666664,0.7096774193548387,0.1409090909090909
HPSI0414i-gesg_2,0.3181818181818182,0.7,0.06993006993006994
HPSI0414i-mita_1,0.2517814726840855,0.7412587412587412,0.017928786359077232
HPSI0414i-oaqd_2,0.4,1.0,0.021929824561403508
HPSI0414i-sebn_3,0.5261538461538462,0.5516129032258065,0.4278812974465148
HPSI0414i-uawq_2,0.1357733175914994,0.14041514041514042,0.6321883442686221
HPSI0414i-xojn_3,0.6776041666666667,0.697002969194606,0.7174833218311479
HPSI0513i-dipe_1,0.35141509433962265,0.369727047146402,0.848421052631579
HPSI0513i-fejf_2,0.582089552238806,0.9,0.2754237288135593
HPSI0513i-giuf_1,0.9175257731958762,0.967391304347826,0.7666666666666667
HPSI0513i-momt_2,0.5078066914498142,0.6905965621840243,0.5597057159026598
HPSI0513i-oibg_1,0.44805194805194803,0.9857142857142858,0.07121057985757884
HPSI0513i-sucd_3,0.553639846743295,0.5688976377952756,0.8743545611015491
HPSI0513i-uoxz_4,0.7,0.7368421052631579,0.8450502152080345
HPSI0513i-veve_2,0.9536541889483066,0.9798534798534798,0.7338709677419355
HPSI0514i-fiaj_1,0.48034822148037293,0.9894061583577713,0.08154707543752576
HPSI0514i-lako_1,0.2201948382973845,0.22586046153253458,0.8200329780517184
HPSI0514i-naah_2,0.4983922829581994,0.5326460481099656,0.8660714285714286
HPSI0514i-oekw_2,0.3347107438016529,0.37155963302752293,0.2834850455136541
HPSI0514i-oupf_6,0.7151515151515152,0.7515923566878981,0.6181102362204725
HPSI0514i-qihv_1,0.1297709923664122,0.1559633027522936,0.21083172147001933
HPSI0514i-rutc_2,0.4938704028021016,0.5145985401459854,0.8954248366013072
HPSI0514i-sohd_2,0.5948275862068966,0.6272727272727273,0.6976744186046512
HPSI0514i-suul_1,0.017543859649122806,0.017857142857142856,0.691358024691358
HPSI0514i-tert_1,0.10723192019950124,0.1096938775510204,0.7911200807265388
HPSI0514i-uenn_3,0.32277737838485504,0.4458972233733941,0.34770966288648414
HPSI0514i-wiii_3,0.059097374886848575,0.8167832167832167,0.030024675326248515
HPSI0514i-yewo_4,0.07947019867549669,0.08304498269896193,0.8508341511285574
HPSI0613i-aevs_1,0.2334975369458128,0.983402489626556,0.12644281217208814
HPSI0613i-bawa_1,0.3111111111111111,0.3173164097914778,0.8816946442845723
HPSI0613i-bohf_1,0.918918918918919,0.9321789321789322,0.5606796116504854
HPSI0613i-eojr_2,0.8157894736842105,0.8378378378378378,0.8043478260869565
HPSI0613i-hegp_3,0.397196261682243,0.4187192118226601,0.7518518518518519
HPSI0613i-hikj_2,0.27705627705627706,0.2813186813186813,0.9173387096774194
HPSI0613i-lizq_3,0.8484848484848485,0.8936170212765957,0.5578635014836796
HPSI0614i-juzt_4,0.4618055555555556,0.8986486486486487,0.11662726556343578
HPSI0614i-liqa_1,0.3063670411985019,0.34456613310867734,0.6118556701030928
HPSI0614i-lirf_5,0.41836734693877553,0.9761904761904762,0.09312638580931264
HPSI0614i-miaj_4,0.18316831683168316,0.7551020408163265,0.050411522633744855
HPSI0614i-oicx_2,0.7857142857142857,0.868421052631579,0.4810126582278481
HPSI0614i-puhk_2,0.12472647702407003,0.9661016949152542,0.04933110367892977
HPSI0614i-qunz_2,0.37012987012987014,0.38513513513513514,0.47435897435897434
