model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
ridge,7,alpha=0.1,0.0998122277290872,0.002051295285783,0.1344946100010434,0.0025923978766785,0.5002954334087557,0.0193099306872253,0.0705882352941176,0.0147873560088219,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=1.0,0.0987543948195222,0.0020581542690422,0.1343300690220683,0.0024201366709088,0.5015384170002862,0.0179850533849416,0.0639705882352941,0.010427474208913,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=10.0,0.0984950460038796,0.0017841081494426,0.1336990205725454,0.0019590154977743,0.5062595318436077,0.0144809575646886,0.0536764705882352,0.0109884861624803,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,7,alpha=100.0,0.1094962672853488,0.000769819835796,0.1415002340209007,0.0011410906337064,0.4470344200719964,0.0089232680189607,0.0095588235294117,0.0035518080260268,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,8,alpha=0.01,0.1002201144135624,0.0020118814512197,0.1350589575507782,0.0031360898306333,0.4960170490400943,0.0235929657764786,0.0661764705882353,0.0091707288891518,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,8,alpha=0.1,0.0999136228558742,0.0020264377353692,0.1350295201848091,0.0031007631650107,0.4962420902404358,0.0233122731738681,0.0654411764705882,0.0094609113066758,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,8,alpha=1.0,0.098662628904602,0.0020375573274784,0.1348346959885696,0.0027971877267295,0.4977385240695443,0.0209395578847726,0.0580882352941176,0.0073119773971452,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,8,alpha=10.0,0.0980881950258576,0.0015377768323783,0.1337964690813837,0.0018904072719732,0.5055462326167085,0.013992463481013,0.0455882352941176,0.0067568866431814,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,8,alpha=100.0,0.1092557199917982,0.000755119283272,0.1412208054768611,0.0010862348273033,0.4492191177759442,0.0084812636035885,0.0073529411764705,0.0,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,9,alpha=0.01,0.099544465601297,0.0020064148588034,0.1315445134053792,0.0029533025281052,0.5219197402892982,0.0214499142100215,0.0830882352941176,0.0092034232134895,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,9,alpha=0.1,0.0989048939474832,0.0019770725090097,0.1315084826178374,0.0028077405854053,0.5222023259694049,0.0203855933285353,0.0816176470588235,0.0080919480486368,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,9,alpha=1.0,0.0980083160891172,0.0020021327021696,0.1331074735630644,0.002603785775718,0.5105449816205667,0.0191614046463714,0.0676470588235294,0.0075940849925635,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,9,alpha=10.0,0.098219057543707,0.0015028766546339,0.1339434809787971,0.0018619057668855,0.5044619045068341,0.0137877577098103,0.0448529411764705,0.0064381987924331,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,9,alpha=100.0,0.1091479078236297,0.0007492830629236,0.1411874566416815,0.0011281663091984,0.4494768956548595,0.0088042335986785,0.0073529411764705,0.0,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
