cell_line,D30_DA,D30_Sert,D30_S,D52_DA,D52_DA_Sert
HPSI0614i-liqa_1,0.44007670182166825,0.2579098753595398,0.697986577181208,0.21082474226804124,0.6118556701030928
HPSI0614i-lirf_5,0.12187958883994127,0.023494860499265784,0.14537444933920704,0.09090909090909091,0.09312638580931264
HPSI0614i-miaj_4,0.03205128205128205,0.010683760683760684,0.042735042735042736,0.03806584362139918,0.050411522633744855
HPSI0614i-oicx_2,0.5,0.19523809523809524,0.6952380952380952,0.4177215189873418,0.4810126582278481
HPSI0614i-puhk_2,0.03801695350629335,0.007963010531723606,0.04597996403801695,0.047658862876254184,0.04933110367892977
HPSI0614i-qunz_2,0.27631578947368424,0.3157894736842105,0.5921052631578947,0.18269230769230768,0.47435897435897434
HPSI0614i-uevq_6,0.16719385449615906,0.05603253502033439,0.22322638951649346,0.03318221279058551,0.05864763190894183
HPSI0614i-voce_1,0.034594594594594595,0.11027027027027027,0.14486486486486486,0.050243111831442464,0.15721231766612642
HPSI0614i-wihj_4,0.7397260273972602,0.10730593607305935,0.8470319634703196,0.6595622119815668,0.7551843317972351
HPSI0714i-burb_1,0.24798457631617044,0.04053165564831347,0.2885162319644839,0.10006287231821648,0.1132009211563328
HPSI0714i-iudw_1,0.532051282051282,0.10256410256410256,0.6346153846153846,0.26895306859205775,0.38898916967509023
HPSI0714i-keui_4,0.13114754098360656,0.012295081967213115,0.14344262295081966,0.07656065959952886,0.07803297997644287
HPSI0714i-kute_5,0.47107438016528924,0.10743801652892562,0.5785123966942148,0.1,0.15000000000000002
HPSI0714i-oatm_1,0.015105740181268883,0.06243705941591138,0.07754279959718026,0.024844720496894408,0.11801242236024845
HPSI0714i-pipw_4,0.5564853556485355,0.22594142259414227,0.7824267782426778,0.27947336923997607,0.6765409934171155
HPSI0715i-aowh_2,0.08197217180883243,0.42105263157894735,0.5030248033877798,0.062213156552779196,0.6268910419853816
HPSI0715i-meue_5,0.4137068965517241,0.3719650751547303,0.7856719717064544,0.22921293486896843,0.7322568612485689
HPSI0715i-zaie_5,0.284434490481523,0.29227323628219487,0.5767077267637178,0.21976592977893367,0.6553966189856957
HPSI0814i-bokz_6,0.41312741312741313,0.4517374517374517,0.8648648648648649,0.16595744680851063,0.8340425531914893
HPSI0814i-siqu_4,0.7009847806624888,0.06803939122649955,0.7690241718889883,0.7084048027444254,0.7890222984562607
HPSI0913i-eika_2,0.5411764705882353,0.3058823529411765,0.8470588235294118,0.3333333333333333,0.5333333333333333
HPSI0914i-iezw_2,0.18450560652395515,0.11416921508664628,0.29867482161060144,0.2740331491712707,0.2740331491712707
HPSI0914i-jejf_2,0.5151354221986192,0.3467870419543282,0.8619224641529474,0.4529331514324693,0.8676671214188267
HPSI0914i-kajh_2,0.4012738853503185,0.2929936305732484,0.694267515923567,0.4342105263157895,0.75
HPSI0914i-laey_6,0.31388778352566654,0.3444488658973338,0.6583366494230003,0.20706769902719874,0.5893388921977367
HPSI0914i-ouvb_2,0.43153511404561823,0.27978691476590634,0.7113220288115245,0.3370118845500849,0.6421618562535371
HPSI0914i-rejf_2,0.028635597978663673,0.012352610892756879,0.04098820887142055,0.02903225806451613,0.037096774193548385
HPSI0914i-suop_5,0.5942028985507246,0.34202898550724636,0.936231884057971,0.35391923990498814,0.8693586698337292
HPSI0914i-vaka_5,0.43457497612225404,0.19961795606494748,0.6341929321872015,0.18360498561840843,0.4678811121764142
HPSI0914i-yuvg_2,0.6081081081081081,0.13783783783783785,0.745945945945946,0.5067264573991032,0.6591928251121076
HPSI0914i-zerv_7,0.5502965892239249,0.1393969352446861,0.689693524468611,0.3871464761040533,0.5016447368421053
HPSI1013i-garx_2,0.057552616874650776,0.2840379959024027,0.3415906127770535,0.07450124688279301,0.16552369077306733
HPSI1013i-hiaf_1,0.1731130126661431,0.28403649099821715,0.45714950366436025,0.14880563497694632,0.5081284963950103
HPSI1013i-jogf_2,0.06944444444444445,0.027777777777777776,0.09722222222222222,0.020491803278688523,0.036885245901639344
HPSI1013i-sita_1,0.02483527622909275,0.0015205271160669033,0.026355803345159655,0.026771653543307086,0.031496062992125984
HPSI1013i-woci_1,0.11994609164420485,0.5390835579514824,0.6590296495956873,0.06294964028776978,0.7446043165467626
HPSI1013i-wopl_2,0.025513819985825654,0.009213323883770375,0.03472714386959603,0.014814814814814815,0.02962962962962963
HPSI1013i-zagm_1,0.15384615384615385,0.38461538461538464,0.5384615384615385,0.13636363636363635,0.8181818181818181
HPSI1014i-babz_3,0.14472900536033353,0.5050625372245384,0.6497915425848719,0.0984369803791154,0.7322913202527436
HPSI1014i-bilx_1,0.07142857142857142,0.011904761904761904,0.08333333333333333,0.04938271604938271,0.04938271604938271
HPSI1014i-eesb_1,0.3927955352612887,0.22049720953830543,0.6132927447995942,0.32614725163893094,0.5303832576903682
HPSI1014i-kefb_1,0.053475935828877004,0.0,0.053475935828877004,0.03829787234042553,0.0425531914893617
HPSI1014i-nosn_1,0.09774436090225563,0.3533834586466165,0.45112781954887216,0.07692307692307693,0.4230769230769231
HPSI1014i-qayj_4,0.4369318181818182,0.3683712121212121,0.8053030303030303,0.3762778111846061,0.8468129885748648
HPSI1014i-quls_2,0.03988803358992302,0.0013995801259622112,0.041287613715885234,0.018406521167499343,0.01972127267946358
HPSI1014i-roug_3,0.3052029571767332,0.5629794950481238,0.868182452224857,0.2742610338777163,0.86732352544203
HPSI1014i-sehl_6,0.11798636601992658,0.6638699528054536,0.7818563188253802,0.06297709923664122,0.8702290076335878
HPSI1014i-tixi_4,0.45331325301204817,0.09939759036144578,0.552710843373494,0.31788079470198677,0.39293598233995586
HPSI1014i-tuju_1,0.035621198957428324,0.02432667245873154,0.05994787141615986,0.012941176470588235,0.02
HPSI1014i-vils_1,0.25259515570934254,0.20847750865051903,0.4610726643598616,0.20365296803652969,0.3187214611872146
HPSI1113i-hayt_3,0.41780935073517267,0.12010573269453163,0.5379150834297043,0.13097514340344169,0.25844486934353095
HPSI1113i-ieki_3,0.16304347826086957,0.36594202898550726,0.5289855072463768,0.07878787878787878,0.5454545454545454
HPSI1113i-podx_1,0.7395264116575592,0.16393442622950818,0.9034608378870673,0.5666527371500208,0.6970330129544504
HPSI1113i-qolg_1,0.27699530516431925,0.3380281690140845,0.6150234741784038,0.1574074074074074,0.6388888888888888
HPSI1113i-vuud_2,0.4472333143183115,0.23844837421563034,0.6856816885339418,0.30503380916604056,0.5920360631104433
HPSI1114i-kuul_1,0.4053689005685798,0.28877501726994736,0.6941439178385271,0.32590152680011475,0.6297668420582413
HPSI1114i-ualf_6,0.11409395973154363,0.4463087248322148,0.5604026845637584,0.07035175879396985,0.5829145728643216
HPSI1213i-hehd_1,0.4434927385059777,0.36817312578565886,0.8116658642916366,0.45236895161290325,0.7991140663771712
