scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,logistic_l1,0,35,2,C=0.1
loco,False,logistic_l2,0,36,2,C=100.0
loco,False,logistic_l1,0,36,2,C=100.0
loco,False,logistic_l2,0,37,2,C=100.0
loco,False,logistic_l1,0,37,2,C=100.0
loco,False,logistic_l2,0,38,2,C=100.0
loco,False,logistic_l1,0,38,2,C=100.0
loco,False,logistic_l2,0,39,2,C=100.0
loco,False,logistic_l1,0,39,2,C=0.1
loco,False,logistic_l2,0,40,2,C=100.0
loco,False,logistic_l1,0,40,2,C=100.0
loco,False,logistic_l2,0,41,10,C=100.0
loco,False,logistic_l1,0,41,2,C=0.1
loco,False,logistic_l2,0,42,2,C=100.0
loco,False,logistic_l1,0,42,2,C=0.1
loco,False,logistic_l2,0,43,2,C=100.0
loco,False,logistic_l1,0,43,2,C=100.0
loco,False,logistic_l2,0,44,2,C=100.0
loco,False,logistic_l1,0,44,2,C=100.0
loco,False,logistic_l2,0,45,2,C=100.0
loco,False,logistic_l1,0,45,2,C=100.0
loco,False,logistic_l2,0,46,6,C=100.0
loco,False,logistic_l1,0,46,7,C=100.0
loco,False,logistic_l2,0,47,2,C=10.0
loco,False,logistic_l1,0,47,4,C=1.0
loco,False,logistic_l2,0,48,10,C=100.0
loco,False,logistic_l1,0,48,2,C=0.1
loco,False,logistic_l2,0,49,2,C=10.0
loco,False,logistic_l1,0,49,2,C=0.1
loco,False,logistic_l2,0,50,2,C=100.0
loco,False,logistic_l1,0,50,2,C=0.1
loco,False,logistic_l2,0,51,10,C=100.0
loco,False,logistic_l1,0,51,2,C=0.1
loco,False,logistic_l2,0,52,2,C=10.0
loco,False,logistic_l1,0,52,2,C=0.1
loco,False,logistic_l2,0,53,2,C=100.0
loco,False,logistic_l1,0,53,2,C=0.1
loco,False,logistic_l2,0,54,2,C=100.0
loco,False,logistic_l1,0,54,2,C=0.1
loco,False,logistic_l2,0,55,2,C=100.0
loco,False,logistic_l1,0,55,7,C=1.0
loco,False,logistic_l2,0,56,2,C=100.0
loco,False,logistic_l1,0,56,2,C=0.1
loco,False,logistic_l2,0,57,2,C=100.0
loco,False,logistic_l1,0,57,2,C=0.1
loco,False,logistic_l2,0,58,2,C=100.0
loco,False,logistic_l1,0,58,2,C=0.1
loco,False,logistic_l2,0,59,6,C=100.0
loco,False,logistic_l1,0,59,7,C=100.0
loco,False,logistic_l2,0,60,2,C=100.0
loco,False,logistic_l1,0,60,2,C=0.1
loco,False,logistic_l2,0,61,2,C=100.0
loco,False,logistic_l1,0,61,2,C=0.1
loco,False,logistic_l2,0,62,2,C=100.0
loco,False,logistic_l1,0,62,9,C=100.0
loco,False,logistic_l2,0,63,2,C=100.0
loco,False,logistic_l1,0,63,10,C=100.0
loco,False,logistic_l2,0,64,7,C=10.0
loco,False,logistic_l1,0,64,6,C=1.0
loco,False,logistic_l2,0,65,10,C=100.0
loco,False,logistic_l1,0,65,10,C=100.0
loco,False,logistic_l2,0,66,2,C=100.0
loco,False,logistic_l1,0,66,10,C=100.0
loco,False,logistic_l2,0,67,2,C=100.0
loco,False,logistic_l1,0,67,2,C=1.0
loco,False,logistic_l2,0,68,2,C=100.0
loco,False,logistic_l1,0,68,10,C=100.0
loco,False,logistic_l2,0,69,2,C=100.0
loco,False,logistic_l1,0,69,7,C=100.0
loco,False,logistic_l2,0,70,2,C=100.0
loco,False,logistic_l1,0,70,6,C=1.0
loco,False,logistic_l2,0,71,10,C=100.0
loco,False,logistic_l1,0,71,6,C=100.0
loco,False,logistic_l2,0,72,7,C=100.0
loco,False,logistic_l1,0,72,6,C=1.0
loco,False,logistic_l2,0,73,10,C=100.0
loco,False,logistic_l1,0,73,6,C=100.0
loco,False,logistic_l2,0,74,10,C=100.0
loco,False,logistic_l1,0,74,6,C=100.0
loco,False,logistic_l2,0,75,10,C=100.0
loco,False,logistic_l1,0,75,6,C=100.0
loco,False,logistic_l2,0,76,10,C=100.0
loco,False,logistic_l1,0,76,6,C=100.0
loco,False,logistic_l2,0,77,10,C=100.0
loco,False,logistic_l1,0,77,6,C=100.0
loco,False,logistic_l2,0,78,10,C=100.0
loco,False,logistic_l1,0,78,6,C=100.0
loco,False,logistic_l2,0,79,2,C=100.0
loco,False,logistic_l1,0,79,2,C=100.0
loco,False,logistic_l2,0,80,6,C=100.0
loco,False,logistic_l1,0,80,6,C=100.0
loco,False,logistic_l2,0,81,2,C=100.0
loco,False,logistic_l1,0,81,6,C=1.0
loco,False,logistic_l2,0,82,2,C=100.0
loco,False,logistic_l1,0,82,6,C=1.0
loco,False,logistic_l2,0,83,10,C=100.0
loco,False,logistic_l1,0,83,6,C=100.0
loco,False,logistic_l2,0,84,2,C=100.0
loco,False,logistic_l1,0,84,2,C=10.0
loco,False,logistic_l2,0,85,10,C=100.0
loco,False,logistic_l1,0,85,2,C=1.0
loco,False,logistic_l2,0,86,2,C=100.0
loco,False,logistic_l1,0,86,6,C=1.0
loco,False,logistic_l2,0,87,6,C=100.0
loco,False,logistic_l1,0,87,6,C=1.0
loco,False,logistic_l2,0,88,10,C=100.0
loco,False,logistic_l1,0,88,6,C=100.0
loco,False,logistic_l2,0,89,2,C=100.0
loco,False,logistic_l1,0,89,2,C=100.0
loco,False,logistic_l2,0,90,9,C=100.0
loco,False,logistic_l1,0,90,6,C=100.0
loco,False,logistic_l2,0,91,2,C=100.0
loco,False,logistic_l1,0,91,4,C=1.0
loco,False,logistic_l2,0,92,2,C=100.0
loco,False,logistic_l1,0,92,2,C=100.0
loco,False,logistic_l2,0,93,2,C=100.0
loco,False,logistic_l1,0,93,2,C=0.1
loco,False,logistic_l2,0,94,10,C=100.0
loco,False,logistic_l1,0,94,2,C=1.0
loco,False,logistic_l2,0,95,6,C=100.0
loco,False,logistic_l1,0,95,6,C=100.0
loco,False,logistic_l2,0,96,10,C=100.0
loco,False,logistic_l1,0,96,4,C=0.1
loco,False,logistic_l2,0,97,10,C=100.0
loco,False,logistic_l1,0,97,6,C=100.0
loco,False,logistic_l2,0,98,10,C=100.0
loco,False,logistic_l1,0,98,7,C=100.0
loco,False,logistic_l2,0,99,10,C=100.0
loco,False,logistic_l1,0,99,7,C=100.0
loco,False,logistic_l2,0,100,10,C=100.0
loco,False,logistic_l1,0,100,10,C=100.0
loco,False,logistic_l2,0,101,3,C=100.0
loco,False,logistic_l1,0,101,3,C=100.0
loco,False,logistic_l2,0,102,10,C=100.0
loco,False,logistic_l1,0,102,10,C=100.0
loco,False,logistic_l2,0,103,10,C=100.0
loco,False,logistic_l1,0,103,10,C=100.0
loco,False,logistic_l2,0,104,10,C=100.0
loco,False,logistic_l1,0,104,10,C=100.0
loco,False,logistic_l2,0,105,10,C=100.0
loco,False,logistic_l1,0,105,10,C=100.0
loco,False,logistic_l2,0,106,9,C=0.01
loco,False,logistic_l1,0,106,2,C=0.1
loco,False,logistic_l2,0,107,10,C=100.0
loco,False,logistic_l1,0,107,10,C=100.0
loco,False,logistic_l2,0,108,10,C=100.0
loco,False,logistic_l1,0,108,10,C=100.0
loco,False,logistic_l2,0,109,10,C=100.0
loco,False,logistic_l1,0,109,10,C=100.0
loco,False,logistic_l2,0,110,10,C=100.0
loco,False,logistic_l1,0,110,10,C=100.0
loco,False,logistic_l2,0,111,6,C=100.0
loco,False,logistic_l1,0,111,6,C=10.0
loco,False,logistic_l2,0,112,2,C=100.0
