scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,logistic_l1,0,35,8,C=0.1
loco,False,logistic_l2,0,36,8,C=0.1
loco,False,logistic_l1,0,36,2,C=0.1
loco,False,logistic_l2,0,37,9,C=0.01
loco,False,logistic_l1,0,37,4,C=0.1
loco,False,logistic_l2,0,38,8,C=0.01
loco,False,logistic_l1,0,38,8,C=0.1
loco,False,logistic_l2,0,39,10,C=0.01
loco,False,logistic_l1,0,39,8,C=0.1
loco,False,logistic_l2,0,40,9,C=0.01
loco,False,logistic_l1,0,40,4,C=0.1
loco,False,logistic_l2,0,41,9,C=0.01
loco,False,logistic_l1,0,41,8,C=0.1
loco,False,logistic_l2,0,42,8,C=0.01
loco,False,logistic_l1,0,42,8,C=0.1
loco,False,logistic_l2,0,43,9,C=0.01
loco,False,logistic_l1,0,43,8,C=0.1
loco,False,logistic_l2,0,44,9,C=0.1
loco,False,logistic_l1,0,44,3,C=1.0
loco,False,logistic_l2,0,45,8,C=0.01
loco,False,logistic_l1,0,45,3,C=1.0
loco,False,logistic_l2,0,46,3,C=100.0
loco,False,logistic_l1,0,46,3,C=0.1
loco,False,logistic_l2,0,47,9,C=0.01
loco,False,logistic_l1,0,47,2,C=0.1
loco,False,logistic_l2,0,48,8,C=0.01
loco,False,logistic_l1,0,48,10,C=100.0
loco,False,logistic_l2,0,49,10,C=0.01
loco,False,logistic_l1,0,49,2,C=0.1
loco,False,logistic_l2,0,50,10,C=0.01
loco,False,logistic_l1,0,50,2,C=0.1
loco,False,logistic_l2,0,51,9,C=0.01
loco,False,logistic_l1,0,51,2,C=0.1
loco,False,logistic_l2,0,52,8,C=0.01
loco,False,logistic_l1,0,52,2,C=0.1
loco,False,logistic_l2,0,53,8,C=0.01
loco,False,logistic_l1,0,53,2,C=0.1
loco,False,logistic_l2,0,54,8,C=0.01
loco,False,logistic_l1,0,54,2,C=0.1
loco,False,logistic_l2,0,55,8,C=0.01
loco,False,logistic_l1,0,55,3,C=1.0
loco,False,logistic_l2,0,56,8,C=0.01
loco,False,logistic_l1,0,56,2,C=0.1
loco,False,logistic_l2,0,57,8,C=0.01
loco,False,logistic_l1,0,57,2,C=0.1
loco,False,logistic_l2,0,58,8,C=0.01
loco,False,logistic_l1,0,58,2,C=0.1
loco,False,logistic_l2,0,59,2,C=100.0
loco,False,logistic_l1,0,59,4,C=1.0
loco,False,logistic_l2,0,60,8,C=1.0
loco,False,logistic_l1,0,60,10,C=100.0
loco,False,logistic_l2,0,61,8,C=0.01
loco,False,logistic_l1,0,61,2,C=0.1
loco,False,logistic_l2,0,62,9,C=0.01
loco,False,logistic_l1,0,62,10,C=100.0
loco,False,logistic_l2,0,63,2,C=100.0
loco,False,logistic_l1,0,63,2,C=100.0
loco,False,logistic_l2,0,64,10,C=0.1
loco,False,logistic_l1,0,64,3,C=1.0
loco,False,logistic_l2,0,65,8,C=0.01
loco,False,logistic_l1,0,65,10,C=100.0
loco,False,logistic_l2,0,66,10,C=100.0
loco,False,logistic_l1,0,66,10,C=100.0
loco,False,logistic_l2,0,67,8,C=0.01
loco,False,logistic_l1,0,67,10,C=100.0
loco,False,logistic_l2,0,68,2,C=100.0
loco,False,logistic_l1,0,68,2,C=100.0
loco,False,logistic_l2,0,69,2,C=100.0
loco,False,logistic_l1,0,69,8,C=10.0
loco,False,logistic_l2,0,70,8,C=0.1
loco,False,logistic_l1,0,70,8,C=100.0
loco,False,logistic_l2,0,71,10,C=100.0
loco,False,logistic_l1,0,71,8,C=10.0
loco,False,logistic_l2,0,72,9,C=0.01
loco,False,logistic_l1,0,72,8,C=100.0
loco,False,logistic_l2,0,73,10,C=100.0
loco,False,logistic_l1,0,73,9,C=10.0
loco,False,logistic_l2,0,74,10,C=100.0
loco,False,logistic_l1,0,74,9,C=10.0
loco,False,logistic_l2,0,75,10,C=100.0
loco,False,logistic_l1,0,75,10,C=10.0
loco,False,logistic_l2,0,76,10,C=100.0
loco,False,logistic_l1,0,76,10,C=10.0
loco,False,logistic_l2,0,77,10,C=100.0
loco,False,logistic_l1,0,77,10,C=10.0
loco,False,logistic_l2,0,78,10,C=100.0
loco,False,logistic_l1,0,78,10,C=10.0
loco,False,logistic_l2,0,79,8,C=0.1
loco,False,logistic_l1,0,79,3,C=1.0
loco,False,logistic_l2,0,80,10,C=100.0
loco,False,logistic_l1,0,80,10,C=100.0
loco,False,logistic_l2,0,81,8,C=0.1
loco,False,logistic_l1,0,81,10,C=100.0
loco,False,logistic_l2,0,82,8,C=0.01
loco,False,logistic_l1,0,82,8,C=100.0
loco,False,logistic_l2,0,83,10,C=100.0
loco,False,logistic_l1,0,83,10,C=10.0
loco,False,logistic_l2,0,84,8,C=0.1
loco,False,logistic_l1,0,84,10,C=100.0
loco,False,logistic_l2,0,85,10,C=100.0
loco,False,logistic_l1,0,85,10,C=10.0
loco,False,logistic_l2,0,86,10,C=0.01
loco,False,logistic_l1,0,86,8,C=100.0
loco,False,logistic_l2,0,87,8,C=100.0
loco,False,logistic_l1,0,87,8,C=10.0
loco,False,logistic_l2,0,88,10,C=100.0
loco,False,logistic_l1,0,88,10,C=10.0
loco,False,logistic_l2,0,89,8,C=0.01
loco,False,logistic_l1,0,89,6,C=100.0
loco,False,logistic_l2,0,90,10,C=100.0
loco,False,logistic_l1,0,90,10,C=100.0
loco,False,logistic_l2,0,91,8,C=0.01
loco,False,logistic_l1,0,91,6,C=100.0
loco,False,logistic_l2,0,92,10,C=0.01
loco,False,logistic_l1,0,92,7,C=10.0
loco,False,logistic_l2,0,93,10,C=0.01
loco,False,logistic_l1,0,93,7,C=100.0
loco,False,logistic_l2,0,94,10,C=100.0
loco,False,logistic_l1,0,94,10,C=10.0
loco,False,logistic_l2,0,95,2,C=100.0
loco,False,logistic_l1,0,95,8,C=10.0
loco,False,logistic_l2,0,96,10,C=100.0
loco,False,logistic_l1,0,96,10,C=100.0
loco,False,logistic_l2,0,97,10,C=100.0
loco,False,logistic_l1,0,97,10,C=10.0
loco,False,logistic_l2,0,98,10,C=100.0
loco,False,logistic_l1,0,98,10,C=10.0
loco,False,logistic_l2,0,99,10,C=100.0
loco,False,logistic_l1,0,99,10,C=100.0
loco,False,logistic_l2,0,100,10,C=100.0
loco,False,logistic_l1,0,100,10,C=100.0
loco,False,logistic_l2,0,101,3,C=100.0
loco,False,logistic_l1,0,101,3,C=100.0
loco,False,logistic_l2,0,102,10,C=100.0
loco,False,logistic_l1,0,102,10,C=100.0
loco,False,logistic_l2,0,103,10,C=100.0
loco,False,logistic_l1,0,103,10,C=100.0
loco,False,logistic_l2,0,104,10,C=100.0
loco,False,logistic_l1,0,104,10,C=100.0
loco,False,logistic_l2,0,105,10,C=100.0
loco,False,logistic_l1,0,105,10,C=100.0
loco,False,logistic_l2,0,106,8,C=0.01
loco,False,logistic_l1,0,106,2,C=0.1
loco,False,logistic_l2,0,107,10,C=100.0
loco,False,logistic_l1,0,107,10,C=100.0
loco,False,logistic_l2,0,108,10,C=100.0
loco,False,logistic_l1,0,108,10,C=100.0
loco,False,logistic_l2,0,109,10,C=100.0
loco,False,logistic_l1,0,109,10,C=100.0
loco,False,logistic_l2,0,110,10,C=100.0
loco,False,logistic_l1,0,110,8,C=100.0
loco,False,logistic_l2,0,111,9,C=0.01
loco,False,logistic_l1,0,111,8,C=1.0
loco,False,logistic_l2,0,112,10,C=100.0
loco,False,logistic_l1,0,112,8,C=100.0
loco,False,logistic_l2,0,113,10,C=0.01
loco,False,logistic_l1,0,113,8,C=1.0
loco,False,logistic_l2,0,114,10,C=0.1
loco,False,logistic_l1,0,114,8,C=1.0
loco,False,logistic_l2,0,115,10,C=100.0
loco,False,logistic_l1,0,115,8,C=100.0
loco,False,logistic_l2,0,116,6,C=0.01
loco,False,logistic_l1,0,116,8,C=1.0
loco,False,logistic_l2,0,117,10,C=100.0
loco,False,logistic_l1,0,117,8,C=100.0
loco,False,logistic_l2,0,118,10,C=100.0
loco,False,logistic_l1,0,118,10,C=100.0
loco,False,logistic_l2,0,119,6,C=0.01
loco,False,logistic_l1,0,119,8,C=1.0
loco,False,logistic_l2,0,120,10,C=100.0
loco,False,logistic_l1,0,120,10,C=100.0
loco,False,logistic_l2,0,121,10,C=0.01
loco,False,logistic_l1,0,121,8,C=1.0
loco,False,logistic_l2,0,122,10,C=100.0
loco,False,logistic_l1,0,122,10,C=100.0
loco,False,logistic_l2,0,123,8,C=100.0
loco,False,logistic_l1,0,123,8,C=100.0
loco,False,logistic_l2,0,124,8,C=0.01
loco,False,logistic_l1,0,124,8,C=1.0
loco,False,logistic_l2,0,125,8,C=0.01
