cell_line,da_over_all,sert_over_all,da_sert_over_all,n_cells
HPSI0714i-keui_4,0.07656065959952886,0.0014723203769140165,0.07803297997644287,3396.0
HPSI0714i-kute_5,0.1,0.05,0.15,40.0
HPSI0714i-oatm_1,0.024844720496894408,0.09316770186335403,0.11801242236024845,483.0
HPSI0714i-pipw_4,0.27947336923997607,0.3970676241771394,0.6765409934171155,3342.0
HPSI0715i-aowh_2,0.062213156552779196,0.5646778854326024,0.6268910419853816,5883.0
HPSI0715i-meue_5,0.22921293486896843,0.5030439263796005,0.7322568612485689,1162.5
HPSI0715i-zaie_5,0.21976592977893367,0.435630689206762,0.6553966189856957,769.0
HPSI0814i-bokz_6,0.16595744680851063,0.6680851063829787,0.8340425531914893,235.0
HPSI0814i-siqu_4,0.7084048027444254,0.08061749571183534,0.7890222984562607,583.0
HPSI0913i-eika_2,0.3333333333333333,0.2,0.5333333333333333,15.0
HPSI0914i-iezw_2,0.2740331491712707,0.0,0.2740331491712707,905.0
HPSI0914i-jejf_2,0.4529331514324693,0.4147339699863574,0.8676671214188267,1466.0
HPSI0914i-kajh_2,0.4342105263157895,0.3157894736842105,0.75,76.0
HPSI0914i-laey_6,0.20706769902719874,0.38227119317053804,0.5893388921977367,144.0
HPSI0914i-ouvb_2,0.3370118845500849,0.30514997170345215,0.6421618562535371,437.0
HPSI0914i-rejf_2,0.02903225806451613,0.008064516129032258,0.037096774193548385,620.0
HPSI0914i-suop_5,0.35391923990498814,0.5154394299287411,0.8693586698337292,421.0
HPSI0914i-vaka_5,0.18360498561840843,0.28427612655800577,0.4678811121764142,2086.0
HPSI0914i-yuvg_2,0.5067264573991032,0.15246636771300448,0.6591928251121076,223.0
HPSI0914i-zerv_7,0.3871464761040533,0.11449826073805203,0.5016447368421053,419.5
HPSI1013i-garx_2,0.07450124688279301,0.09102244389027432,0.16552369077306733,3208.0
HPSI1013i-hiaf_1,0.14880563497694632,0.3593228614180641,0.5081284963950103,1792.0
HPSI1013i-jogf_2,0.020491803278688523,0.01639344262295082,0.036885245901639344,244.0
HPSI1013i-sita_1,0.026771653543307086,0.004724409448818898,0.031496062992125984,1270.0
HPSI1013i-woci_1,0.06294964028776978,0.6816546762589928,0.7446043165467626,556.0
HPSI1013i-wopl_2,0.014814814814814815,0.014814814814814815,0.02962962962962963,405.0
HPSI1013i-zagm_1,0.13636363636363635,0.6818181818181818,0.8181818181818182,22.0
HPSI1014i-babz_3,0.0984369803791154,0.6338543398736282,0.7322913202527436,3007.0
HPSI1014i-bilx_1,0.04938271604938271,0.0,0.04938271604938271,81.0
HPSI1014i-eesb_1,0.32614725163893094,0.2042360060514372,0.5303832576903681,7932.0
HPSI1014i-kefb_1,0.03829787234042553,0.00425531914893617,0.0425531914893617,235.0
HPSI1014i-nosn_1,0.07692307692307693,0.34615384615384615,0.4230769230769231,78.0
HPSI1014i-qayj_4,0.3762778111846061,0.4705351773902586,0.8468129885748648,6652.0
HPSI1014i-quls_2,0.018406521167499343,0.0013147515119642387,0.01972127267946358,7606.0
HPSI1014i-roug_3,0.2742610338777163,0.5930624915643137,0.86732352544203,7409.0
HPSI1014i-sehl_6,0.06297709923664122,0.8072519083969466,0.8702290076335878,3144.0
HPSI1014i-tixi_4,0.31788079470198677,0.07505518763796909,0.39293598233995586,453.0
HPSI1014i-tuju_1,0.012941176470588235,0.007058823529411765,0.02,850.0
HPSI1014i-vils_1,0.20365296803652969,0.11506849315068493,0.3187214611872146,1095.0
HPSI1113i-hayt_3,0.13097514340344169,0.12746972594008923,0.2584448693435309,3138.0
HPSI1113i-ieki_3,0.07878787878787878,0.4666666666666667,0.5454545454545454,165.0
HPSI1113i-podx_1,0.5666527371500208,0.1303802758044296,0.6970330129544505,2393.0
HPSI1113i-qolg_1,0.1574074074074074,0.48148148148148145,0.6388888888888888,108.0
HPSI1113i-vuud_2,0.30503380916604056,0.2870022539444027,0.5920360631104433,1331.0
HPSI1114i-kuul_1,0.32590152680011475,0.30386531525812654,0.6297668420582413,924.5
HPSI1114i-ualf_6,0.07035175879396985,0.5125628140703518,0.5829145728643216,199.0
HPSI1213i-hehd_1,0.45236895161290325,0.346745114764268,0.7991140663771712,531.0
