model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,2,C=0.01,0.49888392857142855,0.009853755220892359,0.6949804143804466,0.005698592058583427,0.5011160714285714,0.008114706423106615,0.5427083333333333,0.23190961564852572,0.4595238095238095,0.23112822629805638,0.5860434636261413,0.1459862111645468,0.25125624726700757,0.0025620669991033317,plain,False,flat,,
logistic_l1,2,C=0.1,0.9570188492063492,0.007682756223649828,0.976436432505736,0.006994066440971947,0.90625,0.008366630849917176,0.9458333333333334,0.011825962754115564,0.8666666666666666,0.012295185226055317,0.9438400166903511,0.006629777034943211,0.08466088492890013,0.003770462872413613,plain,False,flat,,
logistic_l1,2,C=1.0,0.9513144841269842,0.011235511413193754,0.9703342351618399,0.011620559902341744,0.911235119047619,0.010753997997528146,0.934375,0.013932224060929822,0.8880952380952382,0.0196017286273468,0.9421951636518274,0.0076990482376653475,0.06721364452884186,0.0058578642751103095,plain,False,flat,,
logistic_l1,2,C=10.0,0.948983134920635,0.01298189304045949,0.968554476759309,0.01419010705916506,0.9145833333333334,0.014345526243565852,0.9291666666666666,0.014566789557918779,0.9,0.021879442463635268,0.9418905502039628,0.009884284806845297,0.06844890939915385,0.006599272207545275,plain,False,flat,,
logistic_l1,2,C=100.0,0.9493799603174603,0.014039855118475454,0.9693658364613832,0.01457918932874366,0.9125,0.010845981119169885,0.925,0.011825962754115564,0.9,0.018781205660633724,0.9396626550936482,0.00733410346999032,0.06946096000378359,0.0070518025448781585,plain,False,flat,,
logistic_l1,3,C=0.01,0.4989335317460317,0.010426536696682266,0.6944769984050436,0.0056551223139963145,0.5014136904761906,0.009997531839053594,0.521875,0.253850079850536,0.4809523809523809,0.2499181019797344,0.5657369054948793,0.17029654167987263,0.250890791605375,0.0025469399327748207,plain,False,flat,,
logistic_l1,3,C=0.1,0.965500992063492,0.0035470990885940043,0.9826596106534586,0.0022994003690630666,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07972440893054189,0.0020568461251198327,plain,False,flat,,
logistic_l1,3,C=1.0,0.959920634920635,0.004489018788392368,0.9779963238365703,0.0036078395624249827,0.9163690476190476,0.01003897669894722,0.9375,0.0,0.8952380952380953,0.020077953397894505,0.9453948188534163,0.0041815236468803,0.06416596075094981,0.00217858469694363,plain,False,flat,,
logistic_l1,3,C=10.0,0.953125,0.007321020801365879,0.9732233413668656,0.006135619175731457,0.9177827380952381,0.015485607444805599,0.9260416666666667,0.010358634645955775,0.9095238095238095,0.02703077200940702,0.9422413249386377,0.008801298889637273,0.06802756622201656,0.003709586149047301,plain,False,flat,,
logistic_l1,3,C=100.0,0.9532490079365079,0.007737892088524005,0.9734497193267264,0.006410534871833666,0.9162202380952381,0.015947247061436604,0.9229166666666666,0.00878410461157885,0.9095238095238095,0.02703077200940702,0.9405648769399511,0.008874156833536576,0.06982407378769041,0.0040662054158034045,plain,False,flat,,
logistic_l1,4,C=0.01,0.4989335317460317,0.010426536696682266,0.6944769984050436,0.0056551223139963145,0.5014136904761906,0.009997531839053594,0.521875,0.253850079850536,0.4809523809523809,0.2499181019797344,0.5657369054948793,0.17029654167987263,0.2511931219116114,0.0028687824144662507,plain,False,flat,,
logistic_l1,4,C=0.1,0.9656498015873016,0.003389046129756852,0.9828143917718334,0.0022495429980531898,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07974410686831847,0.0021022062900907007,plain,False,flat,,
logistic_l1,4,C=1.0,0.9578869047619047,0.00510267503266788,0.9772807473000611,0.004174817230384412,0.9232886904761906,0.011319146647585852,0.9322916666666666,0.007365695637359856,0.9142857142857143,0.02007795339789451,0.9465929843381922,0.006278262841066451,0.06631949523796346,0.0031388179321255177,plain,False,flat,,
logistic_l1,4,C=10.0,0.9493055555555555,0.010419422034170659,0.9702752360039366,0.011045524270195292,0.9216517857142857,0.014329437677568835,0.921875,0.010123180372995318,0.9214285714285714,0.02522261679693762,0.9424939494063038,0.00821885494386671,0.07147450834832819,0.004643819281353941,plain,False,flat,,
logistic_l1,4,C=100.0,0.9482390873015873,0.011369152701882225,0.9695702044355041,0.012226764590940695,0.919047619047619,0.015630116949994232,0.9166666666666666,0.010980130764473543,0.9214285714285714,0.02522261679693762,0.9396671419966667,0.009443339432621302,0.07386144881093312,0.004701923517791397,plain,False,flat,,
logistic_l1,5,C=0.01,0.49915674603174603,0.01041089115104671,0.6950377981516491,0.005733297975677515,0.5030505952380953,0.009582853207763132,0.4822916666666666,0.25421077713771884,0.5238095238095238,0.24946402611907478,0.5277977437066728,0.22793696097149949,0.2512289747204754,0.0026358536975671716,plain,False,flat,,
logistic_l1,5,C=0.1,0.965625,0.0034150623964401554,0.9828051708504552,0.0022622511922962565,0.905877976190476,0.010148971957147866,0.9427083333333334,0.005490065382236741,0.869047619047619,0.020234204419018974,0.9427176071299759,0.0047855095724444515,0.07974425332256352,0.0021026496989494346,plain,False,flat,,
