cell_line,celltype,n_pools,phat,se
HPSI0314i-uict_1,NB,1.0,0.0029850746268656717,0.002107613758668303
HPSI0314i-uict_1,P_FPP,1.0,0.44328358208955226,0.01919200890682663
HPSI0314i-xagu_1,FPP,1.0,0.5188679245283019,0.028018637183760423
HPSI0314i-xagu_1,NB,1.0,0.0031446540880503146,0.003139705770133386
HPSI0314i-xagu_1,P_FPP,1.0,0.4779874213836478,0.02801142210775682
HPSI0314i-xugn_2,FPP,1.0,0.47949699289229086,0.011681475774530187
HPSI0314i-xugn_2,NB,1.0,0.15035538545653362,0.008357402062213918
HPSI0314i-xugn_2,P_FPP,1.0,0.3701476216511755,0.01129015789534798
HPSI0414i-ceik_1,FPP,1.0,0.5617977528089888,0.02352054028213433
HPSI0414i-ceik_1,NB,1.0,0.024719101123595506,0.007360396173270756
HPSI0414i-ceik_1,P_FPP,1.0,0.4134831460674157,0.023344745769098407
HPSI0414i-gesg_2,FPP,1.0,0.6088595664467483,0.014981911644546597
HPSI0414i-gesg_2,NB,1.0,0.05655042412818096,0.0070911976112524215
HPSI0414i-gesg_2,P_FPP,1.0,0.33459000942507067,0.014485832235307826
HPSI0414i-mita_1,FPP,1.0,0.532035519125683,0.004123881911016291
HPSI0414i-mita_1,NB,1.0,0.07793715846994535,0.00221555229702333
HPSI0414i-mita_1,P_FPP,1.0,0.3900273224043716,0.004031179794004229
HPSI0414i-oaqd_2,FPP,1.0,0.4656046343229544,0.013422800935456463
HPSI0414i-oaqd_2,NB,1.0,0.15930485155684287,0.009847748130882947
HPSI0414i-oaqd_2,P_FPP,1.0,0.3750905141202028,0.013028060295360721
HPSI0414i-sebn_3,FPP,1.0,0.6045066045066045,0.013629529667400322
HPSI0414i-sebn_3,NB,1.0,0.001554001554001554,0.0010979909014005725
HPSI0414i-sebn_3,P_FPP,1.0,0.3939393939393939,0.013620199241681659
HPSI0414i-uawq_2,FPP,1.0,0.4804177545691906,0.012764602441855412
HPSI0414i-uawq_2,NB,1.0,0.0019582245430809398,0.0011294739584397744
HPSI0414i-uawq_2,P_FPP,1.0,0.5176240208877284,0.01276646517584245
HPSI0414i-xojn_3,FPP,2.0,0.5806990437215518,0.020813250236816735
HPSI0414i-xojn_3,NB,2.0,0.004644872812075384,0.003521816021406445
HPSI0414i-xojn_3,P_FPP,2.0,0.41465608346637284,0.020730601617295296
